"date","T150","T50","T29","T108","T91","T110","T59","T38","T120","T23"
"Transform:",1,1,1,1,1,1,1,1,1,1
"4/1/1991",-0.000234906838170437,-0.000183579345582694,8.15481315727057e-05,-0.00234505107103516,4.65470170783844e-05,0.000115198431691456,0.000179094726500805,0.00247004163805354,9.25910739322636e-05,-0.000303907902273917
"5/1/1991",1.42015642704588e-05,-2.50166436412272e-05,-0.000108199624161416,-0.00155752891042737,0.00023102990370176,0.000367682319821817,0.000183223289049188,0.00107555368033766,7.73316652803953e-05,-0.00126788750476424
"6/1/1991",-0.000279483957099236,-0.000803415027761525,-0.000438704290350411,-0.0011472149641945,-8.74640455286087e-05,9.20846534637108e-05,-4.85584498572933e-05,0.000320073057971001,-0.000372109896511191,-0.001322649296347
"7/1/1991",-0.000240968500084539,-0.00061505044194118,5.61678147388512e-05,-0.00179063026617062,-0.000534532841853888,-0.000464904514259657,-0.000196706946812644,0.000598575357746059,-0.000799719388460754,-0.000280823318668496
"8/1/1991",-0.000246571158412684,-0.000858140284808705,0.000883326750803469,-0.000954573019938485,-0.000153918591272382,-0.000741961935842196,-0.00020169587833456,0.000328618490066113,-0.000504707634215067,-0.000195539541751695
"9/1/1991",-0.000321623180813866,-0.000534232656902626,-0.000225525702457518,-0.00283642406704213,-0.000917442572875759,4.48072211053327e-05,-9.34160539610885e-05,-0.000247461310519915,-0.000780766299151934,-0.000732689911198774
"10/1/1991",-0.000136294567675524,-0.000570611369292121,-0.000242714847028545,-0.00138572953298748,-0.000690724757594604,-0.000522901613420949,-0.000487591141873093,0.000814514314429869,-0.00127416092933467,-0.00105587828077687
"11/1/1991",6.32101621798753e-05,-0.00126713270625492,-0.000213189308155906,-0.00167635148686927,-0.000992672957643984,-0.000471681256961679,-0.000267143789662634,0.000159799120771657,-0.00114646708080099,-8.36309239834512e-05
"12/1/1991",-7.85865640467865e-05,-0.00115430798741778,-2.20674129589234e-05,-0.00127734169231014,-0.000337854037017435,-0.00029458301197355,-0.00013939148480111,-0.000806037607710551,-0.000773247884262821,0.000971265789663008
"1/1/1992",-0.000267105142896526,-0.000934542910364864,-0.000518186535089543,-0.000954949193901277,0.000560714318976859,-0.000780860592382321,-0.000252260826835232,-0.000681804351933754,0.00036571410723749,-0.000244521967123411
"2/1/1992",-0.000112855924108685,-0.00171400274741368,-0.000126018835600394,-0.000757354747823507,0.00125367076805796,0.000115481744584449,-0.000162772401685826,0.000144010858406108,0.000246441386120869,-0.000242561223568013
"3/1/1992",1.17673329355411e-06,-0.000836433189429494,0.00047342511229431,0.00090945454991584,-6.50402904369041e-05,0.000162310693292966,-0.000514171890926198,0.000919994975365071,0.000104893590304832,0.000511014413404628
"4/1/1992",-9.56009928108489e-05,-0.000159973777563825,0.000708349793091302,-0.00111792726108095,-0.000760183119721745,-0.000333998314349626,-0.000539818566767782,0.000517758146961094,0.000103351276147817,-0.000439451433890763
"5/1/1992",-0.000209061008670069,-7.62105089262651e-05,4.52006635949662e-06,0.000139193489172395,-0.00111154549815973,-0.000936840654994807,-0.000563678411291689,0.00087199636254874,-0.00032754650204896,-0.00133754044108813
"6/1/1992",-0.000224759275672375,-0.00111925479108756,-0.000535272363363374,0.000418417014738302,-0.000771113900950745,-0.00097642168350708,-0.000774390730876798,0.000249804890447173,-0.00110798355918136,-0.000880284764333826
"7/1/1992",-0.000342212311100511,-0.00079005873898543,-0.000184886933780952,0.000878629575917281,-0.000396952067960077,-0.00145370525870345,-0.00102774208838443,0.000770229473895049,-0.000598160712172988,0.000271892417134427
"8/1/1992",-0.000541910552233284,-0.000632765659855026,-0.000334517384697304,0.00276997037456492,0.00090824455828295,-0.00117345158676438,-0.000224348235846942,0.00064606350037708,-0.000806259156693975,-6.77791136930876e-05
"9/1/1992",-0.000670546258490153,0.00172342456782741,-0.000918091628236939,0.000464672360419527,0.000620868263232608,-0.000653396842063513,0.000214707890898482,0.00142687529775991,-0.000857042637329607,-0.000366352961454833
"10/1/1992",-0.00047155321812619,0.00217835227060895,-0.000708483999743195,0.00267580342041984,0.000307264388025632,-0.000413007468414382,-0.000962370309000222,0.000756548986391146,-0.00129476068960754,-0.000949131929084491
"11/1/1992",-0.000626922054926433,0.000712983615204295,-0.000488699803289359,0.0068635782492417,0.000548576753480838,-0.00127551661738653,-0.00104068513017867,0.000530075869068762,-0.000250363238166062,-0.000725310280216716
"12/1/1992",-0.000725219305688242,0.000508545993229729,-0.000283458991862317,0.00223824963319789,0.000326858479433285,-0.00177659799836437,-0.00091698897956804,0.000758856290698495,-0.000435812064765665,0.000491170408998889
"1/1/1993",-0.000596121472918052,0.000300005519490776,-0.000490962929455923,0.00589506434829508,0.000257339699672288,-0.00139499680362295,-0.00113266212274648,0.000226658268007254,6.17283176522485e-05,-0.000979445325361403
"2/1/1993",-0.000605141797101644,0.00194233286053983,-0.000787025393504701,0.00426208711294977,0.00159903036264147,-0.00102568236701406,-0.000408174981934703,0.000538588556485613,0.000250524098191695,-0.000991929980382109
"3/1/1993",-0.000731937458476198,0.00260998232164769,-0.000782183052366072,0.00101518012611359,0.00104345554225108,-0.00141092758171094,-0.000689853044988818,0.000905459238307102,0.000230138199199751,-0.000916080202829594
"4/1/1993",-0.00090648151479207,0.001223353369487,-0.000637044709271487,0.0015395343062657,-9.97711820710804e-05,-0.00146307004725165,-0.00134531081798876,-0.000364370172815607,-0.000949353073050391,-0.00142475542708858
