,M1-01,M1-16,M2-01,M2-16,M3-01,M3-16,M4-01
2008-03,1.5250885843386102,1.4232934795577306,1.3793015781372104,1.5153016111510116,1.8596458079978868,2.3257029349169174,2.809587521810602
2008-06,1.8078931660607602,1.8023687303319935,1.0976092013203491,0.9013816331093654,0.7066854314619551,0.5565299730019938,0.7783257251286906
2008-09,1.638034878568286,1.2919470826291688,0.046147733437341465,0.07446607730173416,-0.1098864571010933,-0.6083995474791346,-0.8519180392478841
2008-12,0.004117708289974487,0.34926270404562865,-1.489675883130607,-2.118471954648419,-4.343566134072525,-4.41270407392188,-4.491434133286191
2009-03,-3.373729545463075,-3.6954322181359642,-3.4432589747014335,-5.352045447452686,-6.285893337702435,-9.416632928801167,-10.222693433658534
2009-06,-6.404823112348818,-6.418747546386087,-3.0514887486680626,-2.9432593559464277,-3.2953785162561458,-3.1362163467985757,-2.436960116883852
2009-09,-0.9963404007815962,0.08394049106297352,1.9464133627752296,2.9862204959052234,3.7440034624534553,3.549550193953513,4.385314324785815
2009-12,1.5939135740569426,1.8571681156363338,2.5790015142991822,3.160384420688697,3.8178731427640007,3.553130548198787,4.127321169662941
2010-03,1.9806487371699524,1.9145564381398703,2.852102871688291,2.07862491606441,1.8700319430441885,2.254979543172907,2.128154360245944
2010-06,2.5776538137326144,2.702300802417791,6.400433430712672,7.074704133043884,7.897669403949933,7.265847293634111,7.854000443651844
2010-09,3.1057747789102272,3.2932226972511387,6.034068255901426,6.1245907289349155,5.60882556243519,4.561167479383371,4.860524794099552
2010-12,3.5069539989300242,3.4402789966097034,4.06900830109829,3.47336084388769,2.9610690109668574,3.6602960010645043,4.217891424972573
2011-03,3.263715251350887,3.096602598702091,3.492865525590205,2.3074068162541774,2.668409487584872,3.0781165557162726,3.413672609557557
2011-06,2.8767883111548436,2.91402168650605,1.8884250282645334,1.900545939587742,2.3630167770938497,2.6948736316626345,2.26954439801352
2011-09,2.0807044160787274,2.143580155705286,1.7510327998729212,1.4450486341268656,-0.09907781719896425,0.921887373623753,0.9195545517894871
