,M1-01,M1-16,M2-01,M2-16,M3-01,M3-16,M4-01
2008-03,0.4816738641606366,0.4045746612067318,0.9280631329599371,1.7766869598889334,2.8151084117910754,4.4074614280972355,6.04946196637938
2008-06,2.6721775153634884,2.5310819282441166,-0.07769723583160104,-1.1671542632314025,-2.824387457599239,-2.8519199141060785,-1.6073037137043162
2008-09,0.8228374219488678,-0.3297959304840925,-6.065980381155965,-4.958215805678333,-4.331122431909295,-5.278184377129258,-5.2806635042898655
2008-12,-5.957911026231784,-3.9537987979984255,-8.268493757233315,-10.947767806126896,-18.61623003805922,-18.263155036656066,-18.377904771315684
2009-03,-12.691672576829228,-13.471279597827845,-9.56083714421477,-11.938979982047007,-14.370692019606478,-23.246748771731607,-26.485991161711663
2009-06,-9.105522784590288,-10.083951006436802,-2.4532653932442523,0.6158821405474172,-2.355970771020795,-3.461015924051222,-2.9432874963868834
2009-09,1.9397492981055413,4.063189426570891,6.414711483421627,7.47506650381879,7.158565508459672,5.439124751870103,6.184104013713022
2009-12,10.086358597253795,9.401519928553547,7.513806533780713,8.183267564874619,9.390682512968079,7.8445210310853435,8.569317402433382
2010-03,3.18319343458024,2.715247689704023,4.498991492902556,2.1842198066683918,2.5556420632652292,3.4698675132433223,3.033827656016687
2010-06,5.199367324945574,5.195977715429775,16.243120192040955,17.639616486847622,18.609578831157386,15.486844541312077,15.52807932938419
2010-09,5.053358394595249,4.7324934319086935,12.472766362898188,11.088143803540808,11.356800957478317,8.4399186963844,9.01096589306447
2010-12,5.802943913220134,5.492093321629738,7.3556281333034885,5.395044889065625,5.012133165268226,7.181280828890874,8.581320849046438
2011-03,2.8816332200479122,2.5490809706865893,2.0943497835852174,-0.5397634891295171,3.008705969994306,4.796787302465951,6.224248819973543
2011-06,1.6038705932373973,1.9931206956462715,-0.12618749657665806,-0.28613202377503,0.8309961311909502,1.8162907136959956,0.8321695145421165
2011-09,4.781608091230562,5.03760602571505,3.576648927741822,2.8229532340477412,0.579924009731295,3.0289258079513908,3.086788349816675
2011-12,-6.771826313691694,-6.397312442918463,-5.381801030899255,-7.317037105589021,-7.17896914114969,-4.671152711271294,-3.05238588609456
2012-03,3.3224435914604826,2.656100559690418,5.34328611459271,3.034387555841274,3.428423690791342,3.2004562512551082,3.281510105038116
2012-06,1.9971161790208392,1.550098784398274,2.995744268761076,4.319970536717488,2.534260427446533,1.0836351946242915,0.9728486406281356
