"date","growth"
"1991-06",-1.73862241419123
"1991-09",0.564705976145063
"1991-12",14.0916576212604
"1992-03",11.3679613288888
"1992-06",-2.87850674823815
"1992-09",-13.5606206702725
"1992-12",5.11656131182363
"1993-03",-10.7188289397076
"1993-06",-4.64276271480664
"1993-09",-0.0471725927781108
"1993-12",-0.566505464690437
"1994-03",9.56927601486015
"1994-06",7.53920313543084
"1994-09",0.678387861174201
"1994-12",13.8993836411462
"1995-03",-16.4379234396616
"1995-06",10.3248914849178
"1995-09",-6.16289962699206
"1995-12",-4.43493625609719
"1996-03",-20.3975823693266
"1996-06",32.6317741195499
"1996-09",-3.76922028516162
"1996-12",1.33437241503778
"1997-03",-6.89749483495419
"1997-06",2.61173954999165
"1997-09",1.92534093109877
"1997-12",5.76506653418356
"1998-03",8.49473797998996
"1998-06",-3.50670572123555
"1998-09",3.4204895338128
"1998-12",-2.42162901801528
"1999-03",9.93839943461232
"1999-06",5.46284360081941
"1999-09",8.34310059753527
"1999-12",-0.695474478450464
"2000-03",6.94116559907094
"2000-06",2.52721093382426
"2000-09",3.46391454498978
"2000-12",-4.86594892816825
"2001-03",-1.97114091249624
"2001-06",-6.13614918218133
"2001-09",-8.3168240449492
"2001-12",-6.74623348248637
"2002-03",-4.23193901990757
"2002-06",-10.5372371685551
"2002-09",-2.8337510591669
"2002-12",-0.266696309468628
"2003-03",-1.20233878448133
"2003-06",-2.95435541773266
"2003-09",-1.39521941738714
"2003-12",6.70631557525532
"2004-03",-12.4735722062557
"2004-06",0.274348433251603
"2004-09",2.09710988673741
"2004-12",1.18047758777209
"2005-03",-6.72054211013595
"2005-06",0.727438254590496
"2005-09",8.62470245891593
"2005-12",2.84003855604205
"2006-03",-2.49055730118251
"2006-06",13.8296082838291
"2006-09",3.17893548108898
"2006-12",4.12247284935994
"2007-03",16.3959021534705
"2007-06",-5.16696037239903
"2007-09",2.49197344922614
"2007-12",4.5180463639209
"2008-03",14.5720975757104
"2008-06",-7.59220585706757
"2008-09",0.33813931474036
"2008-12",-10.7585482661197
"2009-03",-32.7499312566655
"2009-06",3.08720764849895
"2009-09",5.16562786160257
"2009-12",-2.6481942180304
"2010-03",-6.47753377085749
"2010-06",18.2954950041928
"2010-09",5.00056120603389
"2010-12",-4.22240392942221
"2011-03",19.6660188091727
"2011-06",1.04456883874704
"2011-09",3.62719374469052
"2011-12",4.53203383931928
"2012-03",-4.5670954162361
"2012-06",-3.8176323720073
"2012-09",0.717488981610614
"2012-12",-2.85521880937303
"2013-03",-5.97600593350016
"2013-06",7.4795680233585
"2013-09",6.42813583860544
"2013-12",5.50370298519631
"2014-03",12.706093027769
"2014-06",-9.16903890333387
"2014-09",-3.56472569179971
"2014-12",4.87475680932157
"2015-03",5.84535022024824
"2015-06",-1.69270499757488
"2015-09",-1.30057918048188
"2015-12",6.06861139630013
"2016-03",7.24753575665957
"2016-06",-5.95280717976685
"2016-09",0.14289541993513
"2016-12",3.34372778581624
"2017-03",6.69383244827273
"2017-06",3.98963283580223
"2017-09",1.61616381480201
"2017-12",0.134612150016977
"2018-03",6.62603073126782
"2018-06",1.87801506382819
"2018-09",3.01221035498749
"2018-12",3.75804406360274
