"date","ConstrProd","IP","ConstrNO","INO","ConstrTurn","ITurn","RetTurn","CPI","CPIEN","PPI","PPIEN","EPI","IPI","HW","ConstrHW","Empl","GWMan","GWConstr","CDAX","Bond1","Bond5","Bond10","EERN","EERB","TotalDebt","BankDebt","CorpDebt","PublicDebt","ifoIndTradeClimate","ifoIndTradeCurrent","ifoIndTradeExp","GfKBCE","GfKIE","GfKWtB","GfKCCI","ESI"
"Transform:",3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,3,3,2,2,2,2,2,2,2,2,2,2,2,2
"1/1/1991",138,89,107.1,77.4,13565077,74.5,NA,74.2,75.9,85.1,88.2,92.9,93.2,154.38,149072,39163,99.02,4065695,152.63,8.97,8.98,8.61,NA,NA,9.1,9.2,9.35,9.1,9.9,18.1,2.1,NA,NA,NA,NA,106.5
"2/1/1991",110.8,87.9,108.3,74,12386761,73.1,NA,74.4,76.2,85.2,88.3,92.8,92.4,153.63,121390,38994,99.45,3580819,165.33,8.69,8.57,8.31,NA,NA,8.7,8.8,9.07,8.6,10.2,20.1,0.8,NA,NA,NA,NA,104
"3/1/1991",128.2,87.4,106.9,75.3,13131178,73.3,NA,74.4,76.5,85,88.5,93,92.8,151.7,142195,38866,99.39,4308806,163.26,8.77,8.71,8.47,NA,NA,8.6,8.7,8.74,8.5,7.3,14.3,0.5,NA,NA,NA,NA,100.1
"4/1/1991",127,86.6,103.8,73.5,13823067,72.9,NA,74.8,76.8,85.7,88.8,93.4,93.8,149.05,135393,38850,100.38,4237314,173.2,8.87,8.63,8.24,NA,NA,8.6,8.7,8.71,8.5,7.4,12.6,2.3,NA,NA,NA,NA,100.4
"5/1/1991",125.5,85.3,109.6,72.9,13835401,72.7,NA,74.9,77,85.8,88.8,93.3,93.7,147.8,132686,38760,103.5,4182451,179.18,8.69,8.47,8.19,NA,NA,8.6,8.7,8.66,8.5,4.9,7.5,2.3,NA,NA,NA,NA,100.5
"6/1/1991",125.7,88.8,112.5,74.1,13830985,74.3,NA,75.4,77.2,85.9,89,93.4,94,148.42,130078,38630,104.48,4212707,174.69,8.85,8.73,8.41,NA,NA,8.6,8.7,8.58,8.5,4.8,9.9,-0.1,NA,NA,NA,NA,100.2
"7/1/1991",126.8,86.4,111,72.3,14099845,73.1,NA,76.1,77.7,86.6,89.2,93.6,94.1,146.36,132575,38526,101.59,4188310,171.58,9.11,8.97,8.61,NA,NA,8.9,9,9.28,8.8,3.5,7.3,-0.3,NA,NA,NA,NA,95.7
"8/1/1991",125.8,85.1,114.7,76.2,13879901,72.3,NA,76.4,78,86.6,89.3,93.5,93.8,144.61,130035,38378,102.17,4192658,173.62,8.84,8.75,8.31,NA,NA,8.9,9.1,9.02,8.8,2.3,4.6,0.1,NA,NA,NA,NA,94.3
"9/1/1991",127.3,84.7,122.8,72.4,14138415,72.6,NA,76.5,78,86.9,89.4,93.5,93.1,144.32,131555,38312,101.54,4288382,168.73,8.84,8.75,8.26,NA,NA,8.8,8.9,8.94,8.7,2,4.2,-0.1,NA,NA,NA,NA,94.8
"10/1/1991",128.6,86.1,115.5,73.9,14179917,74.3,NA,77.9,79.5,86.8,89.5,93.5,93.2,142.9,132810,38339,101.7,4360359,165,9.05,8.73,8.23,NA,NA,8.7,8.9,8.91,8.6,2.7,4.5,0.9,NA,NA,NA,NA,95.8
"11/1/1991",130.9,87,117,75.2,14621549,75.9,NA,78.2,79.7,86.9,89.5,93.5,92.8,143.31,137177,38342,101.53,4431550,163.01,9.07,8.68,8.12,NA,NA,8.7,8.9,8.91,8.6,2.7,3.8,1.6,NA,NA,NA,NA,94.6
"12/1/1991",131.6,87.1,115.7,76,14172939,74.2,NA,78.2,79.8,86.9,89.5,93.4,91.8,140.62,137905,38308,101.57,4436969,161.59,9.01,8.46,7.91,NA,NA,8.7,8.8,8.88,8.5,0.5,2.2,-1.1,NA,NA,NA,NA,95.2
"1/1/1992",136.7,88.1,120.1,75.2,15040620,75.2,NA,78.5,80.3,86.5,89.7,93.6,91.5,142.08,141212,38323,102.06,4443131,170.16,8.83,8.08,7.7,NA,NA,8.3,8.5,8.84,8.1,-2.7,-2.5,-2.9,7.9,11.5,-23.4,NA,94
"2/1/1992",145.2,89.6,128.6,75.5,16147082,75.8,NA,78.7,80.5,86.9,89.9,93.8,91.8,141.96,148559,38290,103.23,4736564,177.4,8.79,8.05,7.65,NA,NA,8.2,8.3,8.59,8.1,-3.4,-1.4,-5.3,6.8,10,-20.9,NA,93.2
"3/1/1992",140.6,87.1,119.6,74.8,16338567,74.7,NA,79,80.8,87.1,90.3,93.9,92.1,140.66,146133,38235,102.75,4825099,174.46,9,8.28,7.73,NA,NA,8.2,8.3,8.61,8.1,-6.4,-7.4,-5.4,-3.2,-0.4,-32.2,NA,90.6
"4/1/1992",138.3,87,115.8,72.6,16196498,74.9,NA,79.4,81.2,87.4,90.5,94.2,92,139.26,141740,38193,103.12,4529285,175.57,8.95,8.29,7.85,NA,NA,8.3,8.5,8.71,8.2,-7.5,-8.3,-6.7,-10.5,-3.6,-31.1,NA,88.6
"5/1/1992",139.8,86.3,116.6,71,16065531,74.5,NA,79.7,81.3,87.4,90.7,94.2,91.9,138.45,141589,38159,102.96,4775446,181.3,8.99,8.22,7.82,NA,NA,8.4,8.6,8.86,8.3,-8,-10.2,-5.7,-12.7,-7.4,-39.9,NA,87.5
"6/1/1992",138.3,85.1,120.1,69.5,15812627,73.7,NA,79.9,81.8,87.7,90.9,94.2,91.6,136.32,138872,38098,104.02,4720854,175.51,9.08,8.34,7.92,NA,NA,8.4,8.6,9.14,8.3,-9.7,-12.4,-7,-8.5,-1.8,-40.3,NA,88.7
"7/1/1992",134.5,83.4,113.9,67.9,15707796,72.2,NA,80,81.9,87.5,90.9,94.1,90.9,134.33,135935,38047,106.11,4756977,161.84,9.31,8.47,7.96,NA,NA,8.5,8.7,9.25,8.3,-11.5,-15.7,-7.3,-2,2.1,-31,NA,89.1
"8/1/1992",139.2,83.8,113.6,68.5,16367231,72.4,NA,80.1,81.9,87.5,91,94,90.2,135.19,137981,37970,104.39,4708947,152.65,9.47,8.32,7.87,NA,NA,8.6,8.8,9.34,8.4,-18.2,-18.6,-17.8,-1.1,4.9,-19.6,NA,85.3
"9/1/1992",138.9,83,116.9,69,16299131,73.2,NA,80.2,82.1,87.4,91,93.9,89.7,133.25,139384,37903,103.84,4798293,146.68,8.29,7.77,7.46,NA,NA,8.2,8.4,9.03,8,-19.1,-18.9,-19.2,-11.7,-4.9,-30,NA,82.2
"10/1/1992",136.6,82.8,118,65.1,16186862,71.9,NA,80.6,82.5,87.2,90.8,93.7,89.8,132.64,136113,37852,103.27,4756337,148.54,7.72,7.26,7.24,NA,NA,7.6,7.8,8.5,7.4,-25.3,-23.6,-27,-13.8,-6.1,-31.5,NA,78.2
"11/1/1992",139.4,81.6,118.7,65.8,16394524,71.4,NA,80.8,82.8,87.3,90.9,93.9,90.1,130.67,139138,37812,103.15,4983289,151.53,7.6,7.21,7.17,NA,NA,7.4,7.6,8.25,7.3,-28.2,-27.9,-28.5,-24.4,-11.5,-20.3,NA,74.2
"12/1/1992",149.6,80.2,136.5,67.2,19139703,72.4,NA,80.9,82.9,87.3,90.9,93.9,90,129.42,148832,37775,102.39,5049927,151.26,7.58,6.96,7.06,NA,NA,7.4,7.5,7.86,7.3,-26,-26,-26.1,-28.3,-19.6,-18.3,NA,74.8
"1/1/1993",139.9,79.4,124.3,66.1,16979475,68.9,NA,82,84,87.2,90.9,93.8,89.8,127.67,143064,37796,100.75,4889770,154.62,7.32,6.84,6.96,100.0106,74.6656,7.1,7.2,7.47,7,-27.7,-33.3,-21.9,-31.5,-21.2,-37.7,NA,74.7
"2/1/1993",139.9,78.2,121.3,64.1,15637612,68.7,NA,82.5,84.5,87.4,90.9,93.8,90,124.44,138249,37756,99.51,4940843,164.32,6.81,6.32,6.69,99.3728,74.8543,6.9,7,7.4,6.8,-31.3,-37.9,-24.3,-31,-17.1,-39.3,NA,74.7
"3/1/1993",145,78.2,122.8,62.7,16485069,68.6,NA,82.6,84.7,87.4,90.8,93.9,90,123.76,140071,37709,98.66,5079506,167.11,6.55,6.32,6.75,98.2208,74.6934,6.5,6.6,7.04,6.4,-28.5,-37.9,-18.4,-33.2,-23,-39.7,NA,73.9
"4/1/1993",144.6,77.6,119.6,62.9,17009265,68.6,NA,83,85.1,87.3,90.9,93.8,89.4,122.84,143321,37646,99.23,5073496,163.54,6.75,6.45,6.82,99.0217,76.2711,6.6,6.7,7,6.5,-28.7,-36.3,-20.7,-25.1,-11.4,-30.1,NA,74.9
"5/1/1993",145.3,77.6,118.8,64.3,16806205,67.5,NA,83,85.2,87.2,90.7,93.9,89.2,121.68,142896,37573,98.18,5048994,164.56,6.66,6.5,6.89,98.7281,76.7335,6.7,6.8,7.06,6.6,-30.2,-39.2,-20.8,-26.6,-8.4,-32.3,NA,75.1
"6/1/1993",143.5,77.1,119.6,63.4,16962032,67.4,NA,83.4,85.5,87.2,90.7,94,89.5,120.1,141657,37557,98.36,5087137,168.64,6.59,6.33,6.73,97.0918,76.1411,6.7,6.8,7.15,6.6,-28.6,-39.5,-16.9,-26.8,-17.7,-38.4,NA,75.8
"7/1/1993",141.2,75.3,125,64.1,16949399,66.8,NA,83.6,85.8,87.3,90.9,94.2,90.3,119.52,138879,37504,99.69,5088694,178.74,6.29,6.17,6.59,94.3713,74.2389,6.5,6.6,7.06,6.4,-27.4,-39.6,-14.3,-24.9,-20.6,-38.1,NA,74.3
