"date","ConstrProd","IP","ConstrNO","INO","ConstrTurn","ITurn","RetTurn","CPI","CPIEN","PPI","PPIEN","EPI","IPI","HW","ConstrHW","Empl","GWMan","GWConstr","CDAX","Bond1","Bond5","Bond10","EERN","EERB","TotalDebt","BankDebt","CorpDebt","PublicDebt","ifoIndTradeClimate","ifoIndTradeCurrent","ifoIndTradeExp","GfKBCE","GfKIE","GfKWtB","GfKCCI","ESI"
"Transform:",3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,3,3,2,2,2,2,2,2,2,2,2,2,2,2
"1/1/1991",105.7,94.5,107.1,87.1,13565077,82.5,NA,74.2,75.9,94,92.9,92.9,93.2,154.38,149072,39163,99.02,4065695,152.63,8.97,8.98,8.61,NA,NA,9.1,9.2,9.35,9.1,9.9,18.1,2.1,NA,NA,NA,NA,106.5
"2/1/1991",84.8,92.7,108.3,84.6,12386761,81,NA,74.4,76.2,94.1,93,92.8,92.4,153.63,121390,38994,99.45,3580819,165.33,8.69,8.57,8.31,NA,NA,8.7,8.8,9.07,8.6,10.2,20.1,0.8,NA,NA,NA,NA,104
"3/1/1991",98.2,92.5,106.9,84.7,13131178,80.6,NA,74.4,76.5,93.9,93.2,93,92.8,151.7,142195,38866,99.39,4308806,163.26,8.77,8.71,8.47,NA,NA,8.6,8.7,8.74,8.5,7.3,14.3,0.5,NA,NA,NA,NA,100.1
"4/1/1991",97.2,92,103.8,83.6,13823067,79.9,NA,74.8,76.8,94.6,93.5,93.4,93.8,149.05,135393,38849,100.37,4237314,173.2,8.87,8.63,8.24,NA,NA,8.6,8.7,8.71,8.5,7.4,12.6,2.3,NA,NA,NA,NA,100.4
"5/1/1991",96.1,90.7,109.6,83.6,13835401,79.8,NA,74.9,77,94.7,93.5,93.3,93.7,147.8,132686,38760,103.5,4182451,179.18,8.69,8.47,8.19,NA,NA,8.6,8.7,8.66,8.5,4.9,7.5,2.3,NA,NA,NA,NA,100.5
"6/1/1991",96.2,94.2,112.5,84.3,13830985,81.3,NA,75.4,77.2,94.9,93.7,93.4,94,148.42,130078,38630,104.48,4212707,174.69,8.85,8.73,8.41,NA,NA,8.6,8.7,8.58,8.5,4.8,9.9,-0.1,NA,NA,NA,NA,100.2
"7/1/1991",97.1,92,111,82.7,14099845,80.5,NA,76.1,77.7,95.6,93.9,93.6,94.1,146.36,132575,38526,101.61,4188310,171.58,9.11,8.97,8.61,NA,NA,8.9,9,9.28,8.8,3.5,7.3,-0.3,NA,NA,NA,NA,95.7
"8/1/1991",96.3,91.1,114.7,85.3,13879901,79.7,NA,76.4,78,95.6,94,93.5,93.8,144.61,130035,38378,102.17,4192658,173.62,8.84,8.75,8.31,NA,NA,8.9,9.1,9.02,8.8,2.3,4.6,0.1,NA,NA,NA,NA,94.3
"9/1/1991",97.5,89.9,122.8,80.9,14138415,79.1,NA,76.5,78,95.9,94.1,93.5,93.1,144.32,131555,38312,101.54,4288382,168.73,8.84,8.75,8.26,NA,NA,8.8,8.9,8.94,8.7,2,4.2,-0.1,NA,NA,NA,NA,94.8
"10/1/1991",98.5,91.7,115.5,83.9,14179917,80.9,NA,77.9,79.5,95.8,94.2,93.5,93.2,142.9,132810,38339,101.7,4360359,165,9.05,8.73,8.23,NA,NA,8.7,8.9,8.91,8.6,2.7,4.5,0.9,NA,NA,NA,NA,95.8
"11/1/1991",100.3,92.8,117,84.1,14621549,82.5,NA,78.2,79.7,95.9,94.3,93.5,92.8,143.31,137177,38343,101.53,4431550,163.01,9.07,8.68,8.12,NA,NA,8.7,8.9,8.91,8.6,2.7,3.8,1.6,NA,NA,NA,NA,94.6
"12/1/1991",100.8,92.1,115.7,84.4,14172939,79.9,NA,78.2,79.8,95.9,94.3,93.4,91.8,140.62,137905,38308,101.57,4436969,161.59,9.01,8.46,7.91,NA,NA,8.7,8.8,8.88,8.5,0.5,2.2,-1.1,NA,NA,NA,NA,95.2
"1/1/1992",104.7,93.4,120.1,85.2,15040620,83.1,NA,78.5,80.3,95.5,94.5,93.6,91.5,142.08,141212,38323,102.06,4443131,170.16,8.83,8.08,7.7,NA,NA,8.3,8.5,8.84,8.1,-2.7,-2.5,-2.9,7.9,11.5,-23.4,NA,94
"2/1/1992",111.2,94,128.6,86.7,16147082,83.7,NA,78.7,80.5,95.9,94.7,93.8,91.8,141.96,148559,38289,103.22,4736564,177.4,8.79,8.05,7.65,NA,NA,8.2,8.3,8.59,8.1,-3.4,-1.4,-5.3,6.8,10,-20.9,NA,93.2
"3/1/1992",107.7,92.2,119.6,84.1,16338567,82.4,NA,79,80.8,96.2,95.1,93.9,92.1,140.66,146133,38235,102.75,4825099,174.46,9,8.28,7.73,NA,NA,8.2,8.3,8.61,8.1,-6.4,-7.4,-5.4,-3.2,-0.4,-32.2,NA,90.6
"4/1/1992",105.9,92.2,115.8,83,16196498,82.5,NA,79.4,81.2,96.5,95.3,94.2,92,139.26,141740,38193,103.12,4529285,175.57,8.95,8.29,7.85,NA,NA,8.3,8.5,8.71,8.2,-7.5,-8.3,-6.7,-10.5,-3.6,-31.1,NA,88.6
"5/1/1992",107.1,91.7,116.6,81.2,16065531,82,NA,79.7,81.3,96.5,95.5,94.2,91.9,138.45,141589,38159,102.96,4775446,181.3,8.99,8.22,7.82,NA,NA,8.4,8.6,8.86,8.3,-8,-10.2,-5.7,-12.7,-7.4,-39.9,NA,87.5
"6/1/1992",105.9,90.2,120.1,79.7,15812627,80.7,NA,79.9,81.8,96.8,95.7,94.2,91.6,136.32,138872,38098,104.01,4720854,175.51,9.08,8.34,7.92,NA,NA,8.4,8.6,9.14,8.3,-9.7,-12.4,-7,-8.5,-1.8,-40.3,NA,88.7
"7/1/1992",103,88.8,113.9,77.3,15707796,79.5,NA,80,81.9,96.6,95.7,94.1,90.9,134.33,135935,38047,106.13,4756977,161.84,9.31,8.47,7.96,NA,NA,8.5,8.7,9.25,8.3,-11.5,-15.7,-7.3,-2,2.1,-31,NA,89.1
"8/1/1992",106.6,89.5,113.6,78.9,16367231,80,NA,80.1,81.9,96.6,95.8,94,90.2,135.19,137981,37970,104.39,4708947,152.65,9.47,8.32,7.87,NA,NA,8.6,8.8,9.34,8.4,-18.2,-18.6,-17.8,-1.1,4.9,-19.6,NA,85.3
"9/1/1992",106.4,88.2,116.9,78.1,16299131,79.9,NA,80.2,82.1,96.5,95.8,93.9,89.7,133.25,139384,37903,103.84,4798293,146.68,8.29,7.77,7.46,NA,NA,8.2,8.4,9.03,8,-19.1,-18.9,-19.2,-11.7,-4.9,-30,NA,82.2
"10/1/1992",104.6,88.1,118,74.8,16186862,78.5,NA,80.6,82.5,96.3,95.6,93.7,89.8,132.64,136113,37853,103.27,4756337,148.54,7.72,7.26,7.24,NA,NA,7.6,7.8,8.5,7.4,-25.3,-23.6,-27,-13.8,-6.1,-31.5,NA,78.2
"11/1/1992",106.8,87,118.7,75.4,16394524,77.9,NA,80.8,82.8,96.4,95.7,93.9,90.1,130.67,139138,37812,103.14,4983289,151.53,7.6,7.21,7.17,NA,NA,7.4,7.6,8.25,7.3,-28.2,-27.9,-28.5,-24.4,-11.5,-20.3,NA,74.2
"12/1/1992",114.6,85.2,136.5,75.3,19139703,77.7,NA,80.9,82.9,96.4,95.7,93.9,90,129.42,148832,37776,102.39,5049927,151.26,7.58,6.96,7.06,NA,NA,7.4,7.5,7.86,7.3,-26,-26,-26.1,-28.3,-19.6,-18.3,NA,74.8
"1/1/1993",107.1,83.7,124.3,74.7,16979475,75.9,NA,82,84,96.3,95.7,93.8,89.8,127.67,143064,37796,100.75,4889770,154.62,7.32,6.84,6.96,100.0106,74.6656,7.1,7.2,7.47,7,-27.7,-33.3,-21.9,-31.5,-21.2,-37.7,NA,74.7
