,M1-01,M1-16,M2-01,M2-16,M3-01,M3-16,M4-01
2008-03,1.894203174453871,1.8889868771766283,0.798760456673245,0.801242583754751,0.8804914587495887,0.8995030305760255,0.9232514047960175
2008-06,1.3230280804806815,1.3195209647321635,2.2822173607601233,2.3921667214325804,2.619896192549709,2.6133565170395947,2.6226153075565994
2008-09,3.278983962036966,3.2661129182349597,2.715228580355519,2.7764400603291453,2.1880330042531586,2.174286540651302,2.159329175443667
2008-12,0.3044906560166931,0.3560423142343756,-0.26172793926319815,-0.4125044174918129,-2.5143420521351265,-2.353496861158151,-2.544128621237611
2009-03,-1.4263399964651895,-1.7221522324414695,-0.6922897551065361,-1.8233894618542494,-2.4442248676447242,-3.424548462787942,-3.497317653010234
2009-06,-0.8116020743432959,-0.855009594427844,0.5833930466650521,0.3515890851608172,-0.056154648017787245,-0.17577052226376888,-0.16949615988174838
2009-09,2.005576155770071,2.2180801807189234,1.2913575769838468,1.47978660170212,1.2867252598155015,1.3027039757404522,1.6470786232677335
2009-12,1.8716174035420188,1.9788277061741133,2.515818248342442,2.7507414393277667,2.435203890434984,2.2820036459528596,2.5141862720588937
2010-03,1.6754457896076946,1.7307291827631797,2.110272012695567,1.869414487090207,1.2920794718079027,1.6830667461074698,1.7608993643203152
2010-06,2.0073385618182154,2.0210376061934294,3.8387681653172896,4.295933687609548,3.1959783957177423,3.2443618836236423,3.4335687805962793
2010-09,1.0976657495796942,1.283926449273583,3.602129538370373,3.9400749994207365,2.2634114586768783,2.064238098253778,2.3032226542252596
2010-12,2.575429038185504,2.7329275059491938,4.245558411575091,4.091523660985439,3.8357475847116502,4.0505961299954265,4.372278349431332
2011-03,3.683149482271033,3.6050589201337093,4.699054800690688,4.288183171836504,4.767594282607472,4.710200594521886,4.76782361044349
2011-06,2.7299504955061558,2.779843546173648,2.6028662153196422,2.5898385876230847,2.4169365172250368,2.5149566039676587,2.303408405249681
2011-09,1.4445405440553711,1.5227077352000877,0.4519723842249517,0.4397485497598129,-2.2550049197723796,-1.8504150261300483,-1.6427657414599293
2011-12,-3.4823213446268055,-3.4360688604063694,-1.8428593056599567,-1.8480410847153579,-2.4417770510622994,-2.0584566889657774,-1.6161585166729038
2012-03,0.8445295299052223,0.8478186449028886,0.9131981282052517,0.7033573717041981,1.2639953991739583,1.3857606484035574,1.4048470837875513
2012-06,1.9038023367640076,1.8962006678053132,1.8830567389798616,2.0218352654306444,0.5135111988795514,0.36061008676735284,0.3584413641038
2012-09,-1.063713483853992,-0.9162042627411617,-1.3477550712487507,-1.3591977181982327,-1.1240886540240405,-0.8943517626267454,-0.5077569487676488
2012-12,1.4824077178733082,1.4990916932287663,0.9797977523700112,0.7571570234755899,0.6246666471945089,0.5637012649472761,0.6428274437717958
2013-03,1.4068714763149723,1.3934545296599619,2.9000185795547244,2.8388071482225805,2.1930314596200318,2.0674260150023676,1.9776677325632557
2013-06,-0.5745836608626702,-0.5871312964447806,-1.0010523681458474,-0.8522135317340713,-0.04321036106744369,0.14763816319404932,0.14023793962832332
2013-09,3.4104616268982704,3.320117373271962,2.4802121164858137,2.564526374762302,3.1636192620283112,2.934124084988457,2.936273640428004
2013-12,2.714565598525516,2.6927972997008824,2.0222728482350862,1.9977065360872204,2.3569412624420893,2.218138443749311,2.087286280947545
2014-03,2.63077536817575,2.680080278950057,2.7014040976798306,2.596608364036583,2.171074405509648,2.305023951413247,2.2738814405709036
2014-06,1.4943488932762385,1.4715021324959436,1.1178540320963208,1.0669017947636326,0.9549765715218308,1.0099956731193755,0.8734427462626742
2014-09,1.0706330610779475,0.9983851455534074,0.9255389506676341,0.6893501008061651,-0.03275427891370031,0.31954127092345264,0.4004463773185315
2014-12,0.10139060268926725,-0.14654931908385405,-0.45018829701591345,-0.34465690373197266,0.1370193853787991,0.4138747383880065,0.2775181177215885
2015-03,1.683402555854336,1.6336436804450791,0.8431972059249198,1.0236790657200767,1.1396379906521517,1.1798888111763504,1.3192537228330008
2015-06,2.1351880220158246,2.0735176769221226,2.7098293300941725,2.635625059838575,3.054298202623829,3.1749850123026873,2.972584576423299
2015-09,2.463361307043659,2.4458607041922376,1.8501972391814112,1.754966564593446,1.8362533855007028,1.8649517476710107,1.567714350406205
2015-12,0.886322714696907,0.7978792402262401,0.09862798970835795,-0.013360412568418356,0.2797996573995264,0.48969385805368537,0.497619636229653
2016-03,1.64909380946097,1.534540966572588,0.2849760777393492,0.29524961823417606,-0.693472040395174,-0.34486593512469454,-0.38753734790993866
2016-06,1.1535963386906567,1.1892181315716694,1.4409440843261063,1.509426666708359,1.331272033625023,1.3699568396118567,1.535664991399197
2016-09,1.5095785887635977,1.3881948379278317,-0.0029659666219645775,0.05590323059006619,0.2113277541566041,0.12034894615586489,0.11254417448021026
2016-12,1.117771894149827,1.3169263827121653,2.2680864863634547,2.209155486709275,2.509620398877923,2.574640838702887,2.7067017656231966
2017-03,1.7470483683277145,1.8422361263903881,2.0216568609607988,1.8076034904367426,1.6367064694841473,1.7413201643930412,1.7384576524034694
2017-06,2.489327286387838,2.568472203263317,2.3668556744301235,2.3871685044089834,2.3995172086831036,2.378847216827106,2.18898728309928
2017-09,2.0277115764113174,2.036775912227064,2.5063545631036197,2.494841392281399,1.6238772057544055,1.5737789970975549,1.659864757200454
2017-12,1.3869972558397519,1.5431249896258594,2.065329930672209,2.0828636547294392,2.2143178547189915,2.0694045333483606,2.034317771527958
2018-03,2.044676025631864,2.1851744330293297,3.67757703535618,3.7258560962729055,3.295595047179587,3.0849461995716476,2.9579130547013683
2018-06,1.1134329184818217,1.0040704873938193,1.3417386159240916,1.2880086235333408,1.174745102486067,1.1201898021729442,1.407854828549132
2018-09,0.7721693438936402,0.842752170119497,0.8600490633707975,0.838964013371978,1.1768627100440807,1.0213474358463395,1.0095436601304828
2018-12,2.2823190841970487,2.293156469307261,1.7152636125987364,1.5718548935209609,1.6491921308942135,1.6498178215698944,1.5465993653490784
