,M1-01,M1-16,M2-01,M2-16,M3-01,M3-16,M4-01
2008-03,0.9292735266763512,0.9077757208717832,1.1346725663335464,1.3928898696072258,1.9281525383659124,2.3941915398254774,2.8292712230495094
2008-06,1.7934221144535765,1.743231117134295,0.8458516880408895,0.49953524058728427,0.2908537422980251,0.2909319148894982,0.6938050563219655
2008-09,0.8733706475105978,0.5454594036501585,-1.2204187863792237,-0.893867161549424,-0.5728672087220723,-0.854356908161187,-0.8138621005794955
2008-12,-0.13626772605448445,0.3934342983381125,-1.8422261515661595,-2.692500921340066,-5.7354202333701245,-5.557892567628869,-5.319120807393958
2009-03,-3.3650425639856762,-3.571410655347646,-2.6167787799839455,-4.0164095490596186,-5.5600403831055125,-8.970500059300766,-9.650272025961126
2009-06,-2.6416062445126167,-2.980536722808079,-0.4522887418977788,0.19334617306181945,-1.5666574065469594,-1.9899628902661854,-1.8030738389640972
2009-09,2.1591177981297998,2.962710807451635,4.2933478137336545,4.639644396085257,5.096590584497663,4.281640801419415,4.664425281835646
2009-12,4.4201907416774615,4.175521407206549,3.783449413818036,4.126863009628694,4.720828070797976,4.060502782176619,4.408264893429685
2010-03,2.38922430678417,2.2579954968271423,3.229459251336274,2.2674598367973102,1.984853841840168,2.3924855456848544,2.2396186323287584
2010-06,3.672159168487619,3.6529781409353426,8.745814383245275,9.080043109985583,9.110046029414201,7.798569544928435,7.9055785039321425
2010-09,3.3440067068621913,3.195721831072709,6.844260310734746,6.43651939405316,5.438843166098371,4.252110748868717,4.487565757806612
2010-12,3.2913468050532115,3.1744446916007654,4.289571307470913,3.5869062832363285,3.043094950383871,3.912684202931919,4.493626171421861
2011-03,2.3395349257043168,2.226596759137502,2.2700921827536247,1.2573511043545444,2.378651227540894,3.039210508793083,3.543806923765782
2011-06,1.7952745255961657,1.931468086997949,1.2038308286820347,1.1994449768035387,2.3052238990776486,2.7021940479393107,2.3123539297651408
2011-09,2.4776552899880753,2.567357874035265,1.8110873457389598,1.520474844613816,-0.5115422862013708,0.7136975753438982,0.705328334704506
2011-12,-2.291291803322558,-2.146278720374856,-2.2131903871301524,-2.914705347114225,-3.274424351560306,-2.3347736281089633,-1.6137564867192788
2012-03,1.3201893087385101,1.0692672258139486,2.0298565975398333,1.2140545304739019,1.9504866326761556,1.8637274463316116,1.878725520232568
2012-06,1.378918331030278,1.2190267999271722,2.184982868285117,2.7182516994027113,1.3699624403894628,0.7700095608841082,0.7129963246343974
2012-09,-1.5837232939453196,-1.2505098357944022,-1.4214928593358858,-1.1516271650923426,-1.1023719812387844,-0.5061876802268843,0.10084016407615937
