topic0,preis,dollar,ol,je,olpreis,opec,gold,lit,shell,nachfrag,barrel,weltweit,rohstoff,tonn,bp,benzin,gestieg,produktion,tankstell,london,pro,steigend,steig,rohol,erdol,raffineri,expert,erreicht,knapp,pipelin,niedrig,yukos,hoch,welt,cent,gas,benzinpreis,durft,forder,erhoh,reserv,kostet,angebot,metall,total,heizol,energi,millionen_tonnen,zuletzt,taglich,aluminium,diesel,leicht,liefer,olkonzern,elf,kupf,angesicht,produzent,saudi,olkonz,anstieg,verbrauch,roholpreis,erdgas,gefall,dubai,gering,vergangenen_woche,bestand,fass,arabi,brent,vorrat,durchschnitt,erhoht,goldpreis,druck,millionen_barrel,erwart,kraftstoff,million,edelmetall,zud,exxon,sogar,bedarf,niveau,kraftig,kaffe,aral,lieg,trotz,iea,jung,liegt,sort,notier,steigt,abhang
 ,0.044,0.02,0.019,0.012,0.01,0.01,0.01,0.009,0.008,0.008,0.007,0.006,0.006,0.006,0.006,0.006,0.005,0.005,0.005,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002
topic11,euro,preis,kost,pro,kund,billig,wettbewerb,je,teur,gunstig,niedrig,gebuhr,angebot,verbrauch,cent,erhoh,durchschnitt,kostet,anbiet,lieg,steig,liegt,bezahl,hoch,pfennig,gering,betrag,sogar,spar,zusatz,teu,preiserhoh,jahrlich,senk,rechn,zud,erhoht,vergleich,einfuhr,umstell,meist,zahlt,kartellamt,druck,januar,statt,deshalb,rabatt,bezahlt,gleich,sink,dah,mindest,schnitt,laut,berechn,rechnung,erheb,bundeskartellamt,kommt,steigend,beispielsweis,rechnet,profiti,dadurch,sech,acht,tarif,knapp,konkurrenz,bislang,doppelt,maximal,bog,gesenkt,bekomm,sinkend,wer,unterschied,vorteil,gestieg,gilt,verlang,genannt,preissenk,drastisch,steigt,ledig,verbraucherschutz,zwolf,gelt,betragt,kaum,beispiel,verbraucherzentral,kauf,besond,nutz,kostenlos,hart
 ,0.13,0.049,0.027,0.019,0.015,0.013,0.013,0.012,0.012,0.011,0.01,0.01,0.009,0.009,0.008,0.008,0.008,0.007,0.007,0.006,0.006,0.006,0.006,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002
topic12,turkei,turkisch,ankara,menschenrecht,kurd,gefang,griechisch,pkk,kurdisch,ath,griechenland,istanbul,gefangnis,haftling,mitglied,verbot,turk,organisation,journalist,zyp,freilass,folt,berichtet,verurteilt,fuhr,menschenrechtsverletz,ocalan,menschenrechtsorganisation,behord,dissident,hinricht,nordirak,inhaftiert,europarat,demokrati,festgehalt,todesstraf,recht,festgenomm,amnesty,insel,botschaft,militar,ministerprasident,misshandl,unabhang,kurnaz,strassburg,aufgefordert,haft,freigelass,hiess,aufnahm,hungerstreik,republ,unterstutz,erklar,gefordert,erbakan,bekannt,ecevit,aussenministerium,griech,amnesty_international,tod,verletz,afp,guantanamo,gebracht,kaplan,komite,kritisiert,mind,menschenrechtl,verfolg,guantánamo,kurdistan,ai,angehor,festnahm,anerkannt,islamist,geteilt,genf,schwer,cill,simitis,nachd,nord,gefoltert,beweg,behandl,besuch,offiziell,fuhrung,arbeiterpartei_kurdistans,menschenrechtskommission,gemacht,gefuhrt,schutz
 ,0.05,0.038,0.015,0.014,0.014,0.012,0.012,0.012,0.011,0.009,0.009,0.009,0.008,0.008,0.007,0.006,0.006,0.006,0.005,0.005,0.005,0.005,0.005,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002
topic13,bahn,zug,fahr,verkehr,streck,lkw,strass,kilomet,schien,autobahn,maut,transrapid,fahrt,verkehrsminist,bund,db,projekt,bau,autofahr,lang,verbind,stund,eisenbahn,mehdorn,ausbau,ice,lastwag,transport,plan,buss,auto,bahnhof,netz,nahverkehr,conti,schnell,reif,munch,bundesverkehrsminist,continental,offent,deutsche_bahn,verkehrspolit,erheb,guterverkehr,hannov,einfuhr,wissmann,fahrzeug,hans,adac,deutschen_bahn,stolp,lokfuhr,transnet,spediteur,pkw,tempo,klimmt,fuhr,toll_collect,kost,betreib,verkehrsministerium,zud,zusatz,schienennetz,verspat,start,konsortium,fahrgast,minist,unfall,tiefense,koln,bodew,tunnel,technisch,km,grenz,frankfurt,logist,flughaf,planung,bus,laut,fernverkehr,zustand,adtranz,bring,angebot,ausserd,gleis,bundesverkehrsministerium,lini,matthias_wissmann,richtung,taglich,infrastruktur,ziel
 ,0.042,0.019,0.012,0.012,0.011,0.009,0.009,0.009,0.008,0.008,0.008,0.007,0.006,0.006,0.006,0.006,0.006,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002
topic14,klag,gericht,urteil,karlsruh,verfahr,entschied,recht,jurist,bundesverfassungsgericht,anwalt,antrag,anspruch,beschluss,begrund,beschwerd,streit,bgh,senat,vertrag,verstoss,darf,rechtlich,beruf,eingereicht,geltend,grundsatz,bestatigt,auffass,ansicht,zulass,zustand,durf,kassel,landgericht,entschad,az,rechtsanwalt,oberst,wies,betroff,eugh,verfassungsgericht,verwaltungsgericht,bundesgerichtshof,instanz,begrundet,pruf,deshalb,dusseldorf,rechtsstreit,vereinbar,beantragt,einstweil,verfassungswidr,kundig,oberlandesgericht,unzulass,geklagt,argumentiert,kanzlei,schadenersatz,schad,rechtsprech,rechtmass,zahlung,grundgesetz,verpflichtet,untersagt,gerichtshof,verfug,eingelegt,umstritt,richt,sach,kamm,anordn,zweit,olg,einspruch,schadensersatz,verletz,rechtswidr,abgewies,verlangt,schriftlich,hoch,abgelehnt,verklagt,revision,bundesverwaltungsgericht,verlang,mundlich,sah,widerspruch,entsprech,klagt,frist,verfassungsricht,prufung,tatsach
 ,0.031,0.029,0.024,0.015,0.014,0.012,0.012,0.01,0.009,0.008,0.008,0.008,0.006,0.006,0.006,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002
topic15,treff,aussenminist,besuch,gemeinsam,bezieh,zusammenarbeit,konferenz,gipfel,abkomm,vertrag,vertret,reis,regierungschef,teilnehm,unterzeichnet,vereinbar,kinkel,berat,minist,delegation,dialog,vereinbart,betont,unterzeichn,unterstutz,abschluss,diplomat,zweitag,gipfeltreff,erklar,sprach,zusamm,amtskolleg,thema,botschaft,ministerprasident,eng,partnerschaft,einlad,kolleg,teilnahm,seit,aussenpolit,verhaltnis,empfang,bilateral,besucht,bundeskanzler_gerhard_schröder,begrusst,hauptstadt,them,mittelpunkt,eingelad,initiativ,bekraftigt,samstag,roll,begegn,bundeskanzler_helmut_kohl,kanzl,auftakt,reist,kooperation,bemuh,interess,kontakt,partn,eingetroff,beginn,traf,unterstrich,dreitag,gensch,woll,rahm,trifft,wunsch,tagung,erortert,abend,vorbereit,rand,gegenseit,gesproch,zusammentreff,konkret,stattfind,konflikt,ksze,anschliess,fried,vorausmeld,fortschritt,bedeut,ausserd,problem,freundschaft,mitglied,staatsbesuch,fern
 ,0.043,0.025,0.023,0.019,0.017,0.017,0.017,0.017,0.014,0.012,0.011,0.011,0.01,0.009,0.008,0.008,0.008,0.007,0.007,0.007,0.007,0.007,0.007,0.006,0.006,0.006,0.006,0.006,0.006,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002
topic16,vw,daiml,bmw,chrysl,ford,autos,fahrzeug,modell,werk,volkswag,stuttgart,auto,opel,porsch,konz,gm,motor,herstell,daimlerchrysl,mark,verkauft,absatz,audi,autoherstell,produktion,wolfsburg,pkw,autobau,verkauf,general_motors,renault,rov,tocht,konzern,toyota,klass,nutzfahrzeug,wag,smart,autoindustri,roll,lkw,zulief,schrempp,einheit,volvo,nissan,scania,autokonz,golf,detroit,automobil,japan,weltweit,fabrik,gebaut,marktanteil,handl,fiat,munch,mitsubishi,produziert,automobilherstell,bau,russelsheim,million,automobilindustri,vda,diesel,royc,amerikan,fertig,gelandewag,autokonzern,hyundai,pischetsried,seat,band,jürgen_schrempp,stuck,daewoo,iaa,piëch,mini,kleinwag,peugeot,kfz,konzernchef,automarkt,entwickl,car,skoda,lopez,vergangenen_jahr,zetsch,konkurrent,gottschalk,schwedisch,nordamerika,neuzulass
 ,0.036,0.022,0.019,0.018,0.017,0.016,0.015,0.012,0.011,0.011,0.01,0.01,0.01,0.01,0.01,0.01,0.009,0.009,0.009,0.008,0.007,0.007,0.007,0.007,0.007,0.007,0.006,0.006,0.006,0.006,0.005,0.005,0.005,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.001,0.001,0.001,0.001
topic17,bonn,bundesregier,bundestag,bundesrat,vorschlag,entwurf,gesetz,zustimm,beschloss,berat,beschluss,gesetzentwurf,antrag,mehrheit,verabschiedet,vorgeseh,fdp,plan,forder,lehnt,abgelehnt,umstritt,entsprech,vorgelegt,abstimm,ausschuss,kritisiert,ablehn,begrusst,stimm,kabinett,enthalt,verabschied,arbeitsgrupp,vermittlungsausschuss,initiativ,abgeordnet,vorhab,verlangt,gefordert,widerstand,regel,stimmt,vorlag,grundsatz,bedenk,tret,kompromiss,vorstoss,bundeskabinett,eingebracht,vorgeschlag,ausserd,gebilligt,parlamentar,bundestagsfraktion,notwend,sprach,vorleg,vereinbar,betont,ausgesproch,neuregel,beschliess,lehn,sommerpaus,anhor,grundlag,bisher,vorlieg,danach,einstimm,billigt,verstandigt,gremium,punkt,aufgefordert,erford,zustand,unterstutzt,erhalt,gmelin,sondersitz,befass,abschliess,endgult,zugestimmt,fern,vorstell,verwi,einfuhr,abgestimmt,vertret,durf,erneut,landerkamm,votum,durchsetz,darin,novell
 ,0.073,0.038,0.03,0.022,0.018,0.017,0.016,0.016,0.014,0.014,0.011,0.011,0.009,0.009,0.009,0.008,0.008,0.007,0.007,0.007,0.007,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002
topic18,pakistan,krieg,kampf,islam,indi,terror,indisch,anti,terrorismus,muslim,terrorist,konflikt,fuhr,septemb,saudi,unterstutz,regim,gewalt,arabi,islamist,radikal,gefahr,lad,amerikan,welt,arab,westlich,region,kaschmir,religios,terroranschlag,ziel,militar,bedroh,neu_delhi,demokrati,islamabad,west,fried,moslem,grupp,fundamentalist,osama,feind,freiheit,gefuhrt,musharraf,bevolker,unabhang,saudisch,extremist,mosche,angriff,botschaft,dialog,riad,ind,verbundet,grenz,unterstutzt,leb,jung,general,exil,sturz,delhi,gegn,versuch,nation,bin_laden,entschloss,el_kaida,zugleich,fuhrung,kopftuch,bekampf,warnt,friedlich,bundesstaat,verhind,kraft,vajpaye,gilt,religion,spannung,widerstand,heilig,herrsch,mind,anhang,verantwort,internationalen_terrorismus,auss,verbind,angst,zerstor,drohung,beweis,front,droht
 ,0.025,0.024,0.024,0.022,0.021,0.017,0.014,0.012,0.012,0.011,0.01,0.008,0.008,0.007,0.007,0.007,0.007,0.007,0.006,0.006,0.006,0.006,0.006,0.006,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002
topic19,nachfolg,amt,vorstand,jahrig,aufsichtsrat,spitz,mitglied,vorsitz,rucktritt,bisher,aufgab,gilt,post,verantwort,stellvertret,zustand,ehemal,beruf,wechsel,ubernehm,fuhrung,person,vorgang,manag,gewahlt,leit,kandidat,ex,tritt,uberrasch,vorstandschef,wechselt,ubernimmt,amtszeit,ernannt,vorstandsvorsitz,ausscheid,leitet,langjahr,vorstandsmitglied,alt,zuruckgetret,geschaftsfuhr,tatig,gremium,position,zuletzt,staatssekretar,vertret,funktion,ruckzug,erfahr,viz,gehort,besetz,aufsichtsratschef,ablos,verlass,bekannt,ressort,finanz,scheidend,ernenn,haiti,karri,leitung,vizeprasident,verwaltungsrat,vorzeit,ruhestand,vertraut,designiert,nam,aufsichtsratsvorsitz,ubernomm,lost,arbeitet,trat,verlasst,spekulation,ubernahm,amtier,bleibt,mai,galt,besetzt,aristid,personell,offiziell,zuvor,arbeit,gebor,fuhrt,antret,abgang,jurist,kreis,oktob,personali,auss
 ,0.03,0.026,0.023,0.019,0.019,0.017,0.014,0.012,0.012,0.011,0.009,0.009,0.009,0.009,0.009,0.008,0.008,0.008,0.008,0.007,0.007,0.007,0.007,0.006,0.006,0.006,0.006,0.006,0.006,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002
topic20,russland,russisch,moskau,kosovo,jelzin,belgrad,alban,putin,tschetscheni,sowjet,serbisch,jugoslaw,republ,serbi,milosevic,jugoslawi,ukrain,kreml,russ,meldet,westlich,sowjetunion,unabhang,nato,tschetschen,mazedoni,albani,osz,west,gus,konflikt,tass,fuhrung,udssr,pristina,uck,duma,grosny,montenegro,kommunist,tschernomyrdin,region,kfor,präsident_boris_jelzin,moskaus,balkan,kaukasus,gebiet,krieg,nachrichtenagentur_interfax,weissrussland,serb,mazedon,lebed,tirana,skopj,boris_jelzin,kasachstan,tschetsch,staatschef,wladimir,provinz,st,zusammenarbeit_in_europa,kris,einheit,abtrunn,stellvertret,teilrepubl,_petersburg,primakow,fuhr,viz,offiziell,russischen_truppen,nachrichtenagentur_itar,organisation_für_sicherheit,wladimir_putin,ministerprasident,vertret,russische_präsident_boris_jelzin,moldawi,interfax,itar,hauptstadt,gasprom,samstag,ehemal,gemeinschaft,sowjetrepubl,jugoslawischen_präsidenten_slobodan_milosevic,sjuganow,zitiert,demokrat,russische_regierung,arme,präsident_wladimir_putin,kostunica,rugova,regierungschef
 ,0.066,0.057,0.049,0.028,0.02,0.016,0.016,0.012,0.011,0.01,0.01,0.009,0.009,0.009,0.008,0.008,0.008,0.007,0.007,0.006,0.006,0.006,0.006,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
topic21,umfrag,erwart,positiv,schlecht,zeigt,bess,ergebnis,trotz,seh,befragt,optimist,punkt,stimmung,eher,zufried,rechn,einschatz,gegenub,aktuell,zuversicht,laut,jung,negativ,hoffnung,besond,sogar,leicht,meinung,mehrheit,dennoch,weiterhin,zeig,meint,ergab,meist,skeptisch,vorsicht,optimismus,angesicht,verbessert,aussicht,drittel,blick,zukunft,situation,zuruckhalt,erreicht,beurteilt,verhalt,allgemein,ansicht,uberwieg,glaub,bleibt,ledig,liegt,auswirk,aussert,kaum,veroffentlicht,bewertet,befrag,erheb,knapp,auftrag,unzufried,gering,entwickl,zufolg,kommt,enttauscht,enttausch,bild,unsich,bleib,stabil,halft,unverandert,prozent_der_befragten,vertrau,skepsis,ahnlich,reprasentativ,beurteil,sicht,bundesburg,hingeg,viertel,kommend,zumind,lieg,rechnet,verschlechtert,kam,wert,pessimist,obwohl,blieb,verbesser,prozentpunkt
 ,0.023,0.023,0.022,0.02,0.02,0.016,0.015,0.013,0.013,0.012,0.011,0.011,0.01,0.01,0.009,0.009,0.008,0.008,0.008,0.007,0.007,0.007,0.007,0.007,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002
topic22,washington,bush,iran,amerikan,clinton,nordkorea,teheran,republikan,kongress,demokrat,präsident_george,seoul,sudkorean,präsident_bill_clinton,botschaft,sudkorea,nordkorean,irak,diplomat,senat,senator,georg,sanktion,pjongjang,aussenministerium,amerika,atomwaff,weißen_haus,bezieh,vereinigten_staaten,atomprogramm,iaeo,bundesstaat,bill_clinton,nuklear,aussenpolit,raket,washington_post,weiße_haus,powell,reprasentantenhaus,pentagon,krieg,gor,nordkoreas,vizeprasident,new_york_times,weißen_hauses,national,plan,verbundet,waff,präsident_bush,amerikas,russland,atomar,unterstutz,militar,sudkoreas,new_york,bedroh,red,cia,offiziell,rumsfeld,florida,ortszeit,aussenminist,george_bush,umstritt,ric,nachrichtenagentur,test,atombomb,präsident_george_bush,gouverneur,korean,kerry,dol,regim,atomstreit,lewinsky,uran,strateg,al_gore,cheney,chatami,fuhr,iaea,regierungsbeamt,sud,roh,direkt,kommunist,bemuh,cnn,raketenabwehr,urananreicher,programm,geheimdien
 ,0.05,0.046,0.043,0.041,0.022,0.014,0.013,0.011,0.011,0.009,0.009,0.008,0.006,0.006,0.006,0.006,0.006,0.006,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
topic23,welt,gesellschaft,mensch,zukunft,sozial,okonom,interess,globalisier,alt,roll,reich,europas,chanc,global,leb,jahrhundert,problem,herausforder,histor,bedeut,demokrati,jahrzehnt,national,beispiel,geword,amerika,wandel,marktwirtschaft,begriff,nation,ide,wirklich,verhaltnis,denk,geschicht,gerad,wohlstand,kultur,vision,gefahr,deshalb,modern,wert,grenz,gerecht,recht,entwickl,blick,bess,folg,einfluss,schaff,natur,verandert,allein,generation,braucht,realitat,bevolker,wachsend,lang,inn,tun,find,unterschied,vergang,gepragt,bedeutet,antwort,probl,red,tradition,kulturell,verander,fuhrt,angst,spiel,zeig,mass,fuhr,arm,kontinent,verantwort,verli,seh,erfolg,ebenso,kapitalismus,zunehm,sinn,schwach,revolution,daran,zeigt,auss,uberall,institution,nutz,miteinand,form
 ,0.038,0.014,0.011,0.011,0.009,0.007,0.007,0.006,0.006,0.006,0.006,0.006,0.005,0.005,0.005,0.005,0.005,0.005,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002
topic24,unterschied,einzeln,wesent,bedeut,besond,insbesond,bestimmt,dah,andererseit,entsprech,besteht,beispiel,erheb,tatsach,vorteil,risik,gegenub,beispielsweis,jeweil,gilt,stellt,zunehm,sowohl,darub,einerseit,verschied,haufig,betracht,gering,form,hinaus,lasst,grundsatz,bzw,entwickl,aufgrund,durchaus,relativ,zusammenhang,risiko,besteh,berucksicht,verbund,instrument,eher,rahm,allgemein,hinsicht,bereich,regel,dar,basis,langfrist,innerhalb,dadurch,somit,fuhr,oft,gerad,vielmehr,bedeutet,faktor,erford,daraus,sicht,namlich,fuhrt,erfahr,folgend,sinnvoll,mass,roll,kommt,verhaltnis,kriteri,je,aspekt,liegt,folg,ergeb,wobei,individuell,zumind,art,verander,begrenzt,deshalb,gleich,dr,verfug,abhang,aktuell,gewiss,ansatz,zusatz,einfluss,gesamt,nutz,analys,vorhand
 ,0.011,0.008,0.007,0.006,0.006,0.006,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002
topic25,bau,landwirtschaft,bse,verbrauch,tier,landwirt,produkt,betrieb,gentechn,tonn,fleisch,rind,grun,verbot,lebensmittel,verandert,kunast,test,gefahr,betroff,mensch,gesund,hof,ernt,hektar,kris,verbraucherschutz,bauernverband,milch,bio,kilogramm,handel,landwirtschaftsminist,pflanz,agrarminist,agrarpolit,million,massnahm,eu,getreid,pro,kontroll,zuck,oko,flach,renate_künast,agrar,gen,schwein,einfuhr,behord,kuh,okolog,schaf,stoff,schutz,seuch,skandal,anbau,mais,ministerium,lebensmitteln,produktion,baum,meng,maul,durf,erreg,import,erzeug,hergestellt,banan,bestand,borchert,teilt,ausserd,feld,herstell,umwelt,grossbritanni,ministerin,minist,landwirtschaftsministerium,kennzeichn,krankheit,tiermehl,bislang,besond,qualitat,folg,importiert,rinderwahnsinn,ernahr,bod,bestimmt,alt,export,wald,klauenseuch,expert
