topic0,preis,dollar,ol,je,olpreis,opec,gold,lit,shell,nachfrag,barrel,weltweit,rohstoff,tonn,bp,benzin,gestieg,produktion,tankstell,london,pro,steigend,steig,rohol,erdol,raffineri,expert,erreicht,knapp,pipelin,niedrig,yukos,hoch,welt,cent,gas,benzinpreis,durft,forder,erhoh,reserv,kostet,angebot,metall,total,heizol,energi,millionen_tonnen,zuletzt,taglich,aluminium,diesel,leicht,liefer,olkonzern,elf,kupf,angesicht,produzent,saudi,olkonz,anstieg,verbrauch,roholpreis,erdgas,gefall,dubai,gering,vergangenen_woche,bestand,fass,arabi,brent,vorrat,durchschnitt,erhoht,goldpreis,druck,millionen_barrel,erwart,kraftstoff,million,edelmetall,zud,exxon,sogar,bedarf,niveau,kraftig,kaffe,aral,lieg,trotz,iea,jung,liegt,sort,notier,steigt,abhang
 ,0.037,0.015,0.014,0.011,0.008,0.008,0.006,0.006,0.006,0.006,0.006,0.006,0.005,0.005,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002
topic6,wahl,partei,kandidat,stimm,sieg,wahlkampf,ergebnis,gewahlt,demokrat,sitz,parlamentswahl,konservativ,mehrheit,wahlsieg,prozent_der_stimmen,umfrag,burg,knapp,bewerb,kommunalwahl,prasidentenwahl,niederlag,burgermeist,kam,unabhang,anhang,klar,mandat,kandidatur,gewonn,sozialdemokrat,liberal,verlor,link,indones,jahrig,wahlbeteil,renn,erhielt,letzt,ex,stichwahl,amt,opposition,chanc,jakarta,wahlergebnis,indonesi,abstimm,gilt,absolute_mehrheit,wahlkreis,gewinn,mitt,wiederwahl,republikan,beobacht,recht,million,herausford,prasidentschaftswahl,aufgeruf,timor,wahlt,antret,ehemal,erstmal,erfolg,kopf,wahllokal,erreicht,wahlkommission,amtszeit,wahlberechtigt,auszahl,vorsprung,spitzenkandidat,sozialist,demokrati,vorn,amtier,regiert,hurd,amtsinhab,uberrasch,gewann,suharto,nachfolg,beteil,mai,regierungspartei,hochrechn,favorit,ausgang,list,dritt,erzielt,vertret,parlament,prozentpunkt
 ,0.07,0.033,0.023,0.019,0.015,0.014,0.012,0.011,0.009,0.009,0.008,0.008,0.007,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002
topic7,meist,kaum,geld,wer,lang,kommt,mal,heiss,sogar,gerad,oft,gleich,alt,lasst,wein,meint,haus,hand,statt,liegt,einfach,gar,leer,voll,schnell,besond,schein,wart,bleibt,inzwisch,tur,kalt,bekomm,schliesslich,bald,kopf,flasch,wohl,deshalb,heisst,wass,immerhin,genug,bess,leicht,selt,bier,halb,allein,lieb,bring,fest,bleib,taglich,letzt,haufig,getrank,meng,nehm,herrscht,paar,leut,eigent,dennoch,billig,find,lauft,zumind,vorbei,liess,bar,dick,hoch,stuck,frisch,uberall,dos,bringt,lauf,tisch,schlecht,reich,obwohl,gilt,weihnacht,alkohol,tasch,bod,klein,mittlerweil,eck,beispiel,einzig,eher,fuss,bekommt,greif,trotzd,normal,genau
 ,0.01,0.009,0.009,0.008,0.008,0.008,0.007,0.006,0.006,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002
topic8,gesetz,recht,regel,durf,schutz,regeln,verbot,darf,gelt,vorschrift,richtlini,grundsatz,bestimmt,erlaubt,bestimm,rechtlich,burg,offent,gesetzgeb,kontroll,behord,entsprech,streng,massnahm,geltend,zulass,verstoss,verpflichtet,sollt,gilt,einschrank,ausnahm,verabschiedet,praxis,verhind,artikel,beschrank,verpflicht,besteh,verordn,grundgesetz,pflicht,besond,missbrauch,betroff,gefahr,verscharf,geschutzt,freiwill,uberwach,einhalt,geregelt,allgemein,straf,wirksam,scharf,einzeln,zustand,verscharft,bedenk,staatlich,umsetz,dat,generell,einfuhr,erlass,deshalb,eingriff,zud,person,beispiel,vorgab,anwend,zugang,geandert,notwend,ausserd,art,verlang,datenschutz,grundlag,genehm,tret,eingeschrankt,ausdruck,freien,verbiet,voraussetz,beispielsweis,uberpruf,and,zweck,beschrankt,sogenannt,unabhang,strikt,vorgeschrieb,auflag,ford,durft
 ,0.045,0.018,0.017,0.016,0.015,0.011,0.008,0.008,0.007,0.007,0.007,0.007,0.007,0.006,0.006,0.006,0.006,0.006,0.006,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002
topic9,organisation,hilf,afrika,arm,million,sudafrika,afrikan,weltbank,weltweit,mensch,entwicklungsland,reich,armut,sudafrikan,welt,bevolker,rand,entwickl,unterstutz,helf,entwicklungshilf,konferenz,schwarz,simbabw,johannesburg,millionen_menschen,anc,kontinent,weiss,kampf,leb,oecd,arbeit,nigeria,meist,region,dritten_welt,zeul,national,vereinten_nationen,sudafrikas,bekampf,afrikas,vertret,aid,mandela,korruption,unabhang,industrieland,besond,unicef,mitglied,zugang,armst,sprang,kenia,industriestaat,min,kap,gewalt,fuhr,mugab,unterstutzt,hilfsorganisation,ford,sudlich,beweg,problem,kapstadt,grupp,betroff,westlich,demokrati,ziel,gehor,wieczorek,apartheid,gefordert,sud,demokrat,generalsekretar,schuldenerlass,not,bess,folg,vergang,fortschritt,nelson_mandela,farm,entwicklungspolit,allein,nigerian,initiativ,aufbau,programm,dringend,bedroht,spend,un,nairobi
 ,0.02,0.015,0.014,0.012,0.011,0.011,0.011,0.01,0.009,0.008,0.008,0.008,0.008,0.007,0.007,0.007,0.006,0.006,0.006,0.006,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.004,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002
topic10,niederland,grenz,illegal,ausland,de,behord,kampf,kontroll,den_haag,amsterdam,kolumbi,bekampf,visa,organisiert,verstarkt,holland,ausserd,hart,drog,national,botschaft,massnahm,farc,kriminell,zusammenarbeit,arbeit,gemacht,legal,meist,organisation,versuch,allein,kolumbian,zud,verscharft,kriminalitat,peru,ausweis,hfl,kontrolliert,person,bekannt,fujimori,einreis,geldwasch,pass,belgi,zufolg,lima,sollt,inzwisch,gebracht,stell,list,einwand,gefalscht,zoll,ecuador,schwer,zustand,offiziell,zunehm,genannt,geword,scheng,zahlreich,verbrech,erhalt,band,vergangenen_jahr,besitz,peruan,besond,bogota,schutz,scharf,vorgeh,mindest,lang,vertret,handel,meint,verhind,stellt,missbrauch,verantwort,kundigt,probl,guld,million,burg,revolutionar,nachbarland,guerilla,such,verschied,nachd,sucht,sogenannt,nehm
