"date","GDP","Consumption","Investment"
"Transform:",3,3,3
"3/1/1991",84.69,84.12,84.3
"6/1/1991",84.31,85.28,84.77
"9/1/1991",83.82,82.95,85.47
"12/1/1991",85.05,85.54,87.57
"3/1/1992",86.43,86.41,90.42
"6/1/1992",85.72,86.23,89.66
"9/1/1992",85.4,86.2,87.44
"12/1/1992",85.38,89.28,87.64
"3/1/1993",84.62,86.91,85.61
"6/1/1993",84.6,87.11,84.64
"9/1/1993",85.2,87.83,85.15
"12/1/1993",85.04,89.42,84.15
"3/1/1994",86.23,89.01,86.89
"6/1/1994",86.5,88.79,88.22
"9/1/1994",87.17,89.56,88.78
"12/1/1994",88.15,90.48,90.89
"3/1/1995",87.86,90.33,88.38
"6/1/1995",88.68,91.99,89.97
"9/1/1995",88.89,91.89,88.84
"12/1/1995",88.79,91.94,87.91
"3/1/1996",87.97,92.12,83.35
"6/1/1996",89.26,92.66,90.3
"9/1/1996",89.82,92.94,89.86
"12/1/1996",90.09,93.13,89.93
"3/1/1997",89.59,93.5,87.05
"6/1/1997",90.89,93.93,89.28
"9/1/1997",91.22,93.04,89.66
"12/1/1997",91.82,93.81,90.4
"3/1/1998",92.51,94.35,92.62
"6/1/1998",92.14,94.13,91.65
"9/1/1998",92.47,94.96,92.85
"12/1/1998",92.4,95.98,92.21
"3/1/1999",93.13,97.09,94.54
"6/1/1999",93.23,97,95.71
"9/1/1999",94.3,97.44,97.87
"12/1/1999",95.33,98.91,97.63
"3/1/2000",96.38,98.99,100.01
"6/1/2000",97.41,100.53,99.68
"9/1/2000",97.32,100.42,100.62
"12/1/2000",97.26,100.13,99.69
"3/1/2001",98.71,101.46,99.39
"6/1/2001",98.82,102.18,97.2
"9/1/2001",98.51,102.48,95.49
"12/1/2001",98.71,101.67,94.33
"3/1/2002",98.35,100.73,92.46
"6/1/2002",98.66,101,90.31
"9/1/2002",99.01,101.45,90.19
"12/1/2002",98.82,101.44,89.69
"3/1/2003",98.05,101.12,90.22
"6/1/2003",97.99,101.43,90.27
"9/1/2003",98.45,101.44,90.57
"12/1/2003",98.83,101.14,90.48
"3/1/2004",98.86,101.08,89.61
"6/1/2004",99.17,100.82,88.82
"9/1/2004",99.02,100.73,89.43
"12/1/2004",99.02,101.79,89.02
"3/1/2005",98.9,101.36,87.82
"6/1/2005",99.55,101.27,89.14
"9/1/2005",100.33,101.9,90.4
"12/1/2005",100.59,101.55,93.39
"3/1/2006",101.76,102.27,92.43
"6/1/2006",103.3,102.52,98.41
"9/1/2006",104.29,102.89,98.99
"12/1/2006",105.56,104.34,102.25
"3/1/2007",106.25,102.16,102.66
"6/1/2007",106.87,102.75,101.37
"9/1/2007",107.8,103.34,101.99
"12/1/2007",108.07,102.98,105.28
"3/1/2008",109.23,103.77,106.96
"6/1/2008",108.81,102.99,103.95
"9/1/2008",108.38,103.62,104.38
"12/1/2008",106.03,103.3,103.25
"3/1/2009",101.78,103.55,94.5
"6/1/2009",102.1,104.08,93.54
"9/1/2009",102.93,102.98,94.32
"12/1/2009",103.68,102.74,94.42
"3/1/2010",104.21,102.86,94.83
"6/1/2010",106.24,103.59,100.14
"9/1/2010",107.08,103.95,101.69
"12/1/2010",107.59,104.61,101.6
"3/1/2011",109.04,105.02,106.72
"6/1/2011",109.17,NA,NA
