"date","GDP","Consumption","Investment"
"Transform:",3,3,3
"3/1/1991",79.45,81.72,87.4
"6/1/1991",79.12,82.62,87.8
"9/1/1991",78.72,80.29,88.79
"12/1/1991",79.74,82.39,91.24
"3/1/1992",81.02,83.84,93.19
"6/1/1992",80.49,83.43,92.47
"9/1/1992",80.25,83.53,90.55
"12/1/1992",80.08,85.97,90.44
"3/1/1993",79.37,84.18,88.6
"6/1/1993",79.41,84.23,87.45
"9/1/1993",79.97,84.96,88.08
"12/1/1993",79.92,85.92,86.76
"3/1/1994",80.9,86.14,89.5
"6/1/1994",81.18,85.84,90.61
"9/1/1994",81.79,86.6,91.01
"12/1/1994",82.87,87.15,92.97
"3/1/1995",82.49,87.47,90.69
"6/1/1995",83.21,88.57,92.29
"9/1/1995",83.49,88.51,91.32
"12/1/1995",83.45,88.4,90.68
"3/1/1996",82.62,88.78,85.77
"6/1/1996",83.8,89.17,92.67
"9/1/1996",84.31,89.43,92.55
"12/1/1996",84.78,89.59,92.78
"3/1/1997",84.27,89.92,89.89
"6/1/1997",85.46,90.35,91.83
"9/1/1997",85.79,89.56,91.96
"12/1/1997",86.4,90.45,92.75
"3/1/1998",87.09,90.87,95.2
"6/1/1998",86.81,90.39,94
"9/1/1998",87.04,91.14,95.18
"12/1/1998",87.02,92.02,94.64
"3/1/1999",87.72,93.07,97.38
"6/1/1999",87.91,92.9,98.22
"9/1/1999",88.83,93.06,100.11
"12/1/1999",89.94,94.28,99.74
"3/1/2000",90.78,94.73,101.6
"6/1/2000",91.7,95.75,101.49
"9/1/2000",91.57,95.83,102.4
"12/1/2000",91.64,95.2,101.65
"3/1/2001",93.14,96.97,101.98
"6/1/2001",93.22,97.1,100.13
"9/1/2001",92.95,97.25,98.5
"12/1/2001",93.06,96.6,97.45
"3/1/2002",92.77,96,95.59
"6/1/2002",93.01,95.88,93.54
"9/1/2002",93.45,96.36,93.19
"12/1/2002",93.25,96.87,92.68
"3/1/2003",92.12,96.45,92.74
"6/1/2003",92.14,96.44,92.39
"9/1/2003",92.6,96.43,92.46
"12/1/2003",92.94,96.36,92.29
"3/1/2004",92.92,96.93,92.21
"6/1/2004",93.24,96.65,91.3
"9/1/2004",93.07,96.53,91.79
"12/1/2004",93.16,97.18,91.1
"3/1/2005",92.98,97.25,90.15
"6/1/2005",93.6,97.23,91.67
"9/1/2005",94.36,97.41,92.99
"12/1/2005",94.72,97.51,95.19
"3/1/2006",95.6,98.22,94.69
"6/1/2006",97.13,98.58,100.29
"9/1/2006",98.1,98.6,100.99
"12/1/2006",99.38,100.11,104.16
"3/1/2007",99.79,98.17,103.9
"6/1/2007",100.53,99.02,103.23
"9/1/2007",101.38,99.21,103.79
"12/1/2007",101.66,99.22,106.46
"3/1/2008",102.55,99.36,107.04
"6/1/2008",102.27,99.31,104.96
"9/1/2008",101.9,99.45,105.27
"12/1/2008",99.93,99.51,103.78
"3/1/2009",95.45,100.09,94.57
"6/1/2009",95.52,100.19,94.52
"9/1/2009",96.09,99.04,95.03
"12/1/2009",96.97,99.34,94.69
"3/1/2010",97.68,99.27,94.78
"6/1/2010",99.68,99.84,100.5
"9/1/2010",100.49,99.96,101.89
"12/1/2010",101.33,100.7,100.77
"3/1/2011",103.12,101.12,105.84
"6/1/2011",103.3,100.5,106.59
"9/1/2011",103.79,101.69,107.56
"12/1/2011",103.81,101.79,107.21
"3/1/2012",104.14,102.33,107.33
"6/1/2012",104.24,102.56,106.59
"9/1/2012",104.48,102.85,107.05
"12/1/2012",104.01,102.71,105.96
"3/1/2013",103.78,102.77,102.28
"6/1/2013",104.7,103.45,105.63
"9/1/2013",105.23,104.08,106.07
"12/1/2013",105.66,103.34,108.03
"3/1/2014",106.59,103.97,110.29
"6/1/2014",106.41,104.05,108.99
"9/1/2014",106.75,104.68,108.43
"12/1/2014",107.7,105.24,109.92
"3/1/2015",107.82,105.47,109.3
"6/1/2015",108.3,105.76,109.35
"9/1/2015",108.65,106.4,110.26
"12/1/2015",109.11,107.02,113.02
"3/1/2016",109.8,107.64,114.43
"6/1/2016",110.31,107.81,113.05
"9/1/2016",110.68,108.22,113.62
"12/1/2016",111.14,108.9,113.6
"3/1/2017",112.13,109.32,116.72
"6/1/2017",112.84,110.23,117.89
"9/1/2017",113.77,NA,NA
