"date","GDP","Consumption","Investment"
"Transform:",3,3,3
"3/1/1991",84.66,84.77,94.47
"6/1/1991",84.31,85.88,94.82
"9/1/1991",83.86,83.76,95.5
"12/1/1991",85.05,86.18,98.11
"3/1/1992",86.38,87.66,101.04
"6/1/1992",85.73,86.6,100.18
"9/1/1992",85.44,86.43,97.76
"12/1/1992",85.4,89.81,97.85
"3/1/1993",84.57,87.39,95.82
"6/1/1993",84.6,87.49,94.64
"9/1/1993",85.24,88.62,95.19
"12/1/1993",85.06,89.07,93.89
"3/1/1994",86.19,89.82,97.18
"6/1/1994",86.51,88.83,98.63
"9/1/1994",87.2,89.34,99.17
"12/1/1994",88.17,90.79,101.3
"3/1/1995",87.83,90.64,98.59
"6/1/1995",88.69,91.8,100.52
"9/1/1995",88.92,91.66,99.27
"12/1/1995",88.8,91.71,98.31
"3/1/1996",87.93,91.85,93.04
"6/1/1996",89.28,92.33,100.84
"9/1/1996",89.82,92.68,100.43
"12/1/1996",90.1,92.66,100.74
"3/1/1997",89.59,92.98,97.44
"6/1/1997",90.9,93.47,99.86
"9/1/1997",91.2,92.88,100.12
"12/1/1997",91.84,93.5,101.09
"3/1/1998",92.52,93.95,103.47
"6/1/1998",92.17,93.41,102.35
"9/1/1998",92.44,94.42,103.74
"12/1/1998",92.42,95.32,102.9
"3/1/1999",93.13,96,105.54
"6/1/1999",93.25,95.9,106.73
"9/1/1999",94.27,96.3,109.13
"12/1/1999",95.34,97.62,108.41
"3/1/2000",96.37,97.73,110.93
"6/1/2000",97.42,98.75,110.75
"9/1/2000",97.3,99.06,111.71
"12/1/2000",97.28,98.45,110.62
"3/1/2001",98.71,99.81,110.66
"6/1/2001",98.82,100.07,108.43
"9/1/2001",98.51,100.11,106.44
"12/1/2001",98.7,99.49,105.21
"3/1/2002",98.36,99.13,103
"6/1/2002",98.64,98.99,100.71
"9/1/2002",99.02,99.21,100.49
"12/1/2002",98.83,99.81,100.06
"3/1/2003",98.06,99.83,99.85
"6/1/2003",97.98,99.63,99.71
"9/1/2003",98.44,99.37,99.9
"12/1/2003",98.84,99.52,99.8
"3/1/2004",98.85,99.69,99.05
"6/1/2004",99.17,99.5,98.35
"9/1/2004",99,99.53,98.74
"12/1/2004",99.03,99.92,97.93
"3/1/2005",98.91,99.65,97.22
"6/1/2005",99.55,99.87,98.73
"9/1/2005",100.31,100.15,99.73
"12/1/2005",100.65,100.07,102.5
"3/1/2006",101.75,100.88,102.35
"6/1/2006",103.27,101.2,109
"9/1/2006",104.27,101.17,109.44
"12/1/2006",105.63,102.74,112.9
"3/1/2007",106.25,100.45,113.7
"6/1/2007",106.86,101.42,112.49
"9/1/2007",107.75,101.73,112.85
"12/1/2007",108.13,101.7,116.4
"3/1/2008",109.21,101.91,117.04
"6/1/2008",108.79,101.93,114.21
"9/1/2008",108.3,102.07,114.14
"12/1/2008",106.16,102.03,112.6
"3/1/2009",101.78,102.56,102.37
"6/1/2009",102.03,102.69,100.68
"9/1/2009",102.79,101.89,100.89
"12/1/2009",103.85,102.2,100.86
"3/1/2010",104.35,102.38,101.61
"6/1/2010",106.44,103.15,107.73
"9/1/2010",107.3,103.47,108.89
"12/1/2010",108.2,104.25,107.67
"3/1/2011",109.86,105.55,113.75
"6/1/2011",109.96,104.73,113.64
"9/1/2011",110.43,106.18,114.1
"12/1/2011",110.54,106.28,114.67
"3/1/2012",111.27,106.27,114.18
"6/1/2012",111.18,106.27,112.25
"9/1/2012",111.4,106.57,112.17
"12/1/2012",110.89,106.63,111.41
"3/1/2013",110.89,106.91,109.83
"6/1/2013",111.69,107.64,111.19
"9/1/2013",112.05,107.98,112.62
"12/1/2013",112.48,107.66,113.4
"3/1/2014",113.4,108.4,117.06
"6/1/2014",NA,NA,NA
