"date","GDP","Consumption","Investment"
"Transform:",3,3,3
"3/1/1991",84.66,84.81,94.43
"6/1/1991",84.31,85.86,94.85
"9/1/1991",83.86,83.77,95.51
"12/1/1991",85.05,86.17,98.05
"3/1/1992",86.38,87.71,101.07
"6/1/1992",85.73,86.58,100.17
"9/1/1992",85.44,86.44,97.77
"12/1/1992",85.4,89.8,97.89
"3/1/1993",84.57,87.44,95.82
"6/1/1993",84.6,87.46,94.66
"9/1/1993",85.24,88.62,95.22
"12/1/1993",85.06,89.05,93.94
"3/1/1994",86.19,89.83,97.22
"6/1/1994",86.51,88.81,98.65
"9/1/1994",87.2,89.36,99.19
"12/1/1994",88.17,90.77,101.3
"3/1/1995",87.83,90.64,98.68
"6/1/1995",88.69,91.8,100.51
"9/1/1995",88.92,91.68,99.24
"12/1/1995",88.8,91.68,98.32
"3/1/1996",87.93,91.82,93.1
"6/1/1996",89.28,92.33,100.82
"9/1/1996",89.82,92.7,100.46
"12/1/1996",90.1,92.64,100.69
"3/1/1997",89.59,92.99,97.32
"6/1/1997",90.9,93.47,99.93
"9/1/1997",91.2,92.9,100.15
"12/1/1997",91.84,93.48,101.07
"3/1/1998",92.52,93.97,103.47
"6/1/1998",92.17,93.41,102.33
"9/1/1998",92.44,94.44,103.78
"12/1/1998",92.42,95.29,102.98
"3/1/1999",93.13,96.01,105.54
"6/1/1999",93.25,95.9,106.76
"9/1/1999",94.27,96.32,109.17
"12/1/1999",95.34,97.59,108.51
"3/1/2000",96.37,97.7,111.03
"6/1/2000",97.42,98.74,110.72
"9/1/2000",97.3,99.07,111.69
"12/1/2000",97.28,98.43,110.64
"3/1/2001",98.71,99.8,110.73
"6/1/2001",98.82,100.08,108.38
"9/1/2001",98.51,100.13,106.43
"12/1/2001",98.7,99.47,105.18
"3/1/2002",98.36,99.13,102.96
"6/1/2002",98.64,98.98,100.71
"9/1/2002",99.02,99.2,100.51
"12/1/2002",98.83,99.82,100.03
"3/1/2003",98.06,99.85,99.85
"6/1/2003",97.98,99.64,99.65
"9/1/2003",98.44,99.35,99.94
"12/1/2003",98.84,99.51,99.8
"3/1/2004",98.85,99.65,99.09
"6/1/2004",99.17,99.5,98.32
"9/1/2004",99,99.53,98.79
"12/1/2004",99.03,99.91,98.04
"3/1/2005",98.91,99.66,97.18
"6/1/2005",99.55,99.87,98.76
"9/1/2005",100.31,100.14,99.79
"12/1/2005",100.65,100.06,102.57
"3/1/2006",101.75,100.87,102.44
"6/1/2006",103.27,101.22,108.87
"9/1/2006",104.27,101.17,109.47
"12/1/2006",105.63,102.72,112.95
"3/1/2007",106.25,100.43,113.79
"6/1/2007",106.86,101.44,112.29
"9/1/2007",107.75,101.75,112.9
"12/1/2007",108.13,101.68,116.44
"3/1/2008",109.21,101.86,116.99
"6/1/2008",108.79,101.95,114.14
"9/1/2008",108.3,102.09,114.27
"12/1/2008",106.16,101.98,112.69
"3/1/2009",101.78,102.51,102.33
"6/1/2009",102.03,102.7,100.57
"9/1/2009",102.79,101.83,101.14
"12/1/2009",103.85,102.06,101.22
"3/1/2010",104.35,102.25,101.84
"6/1/2010",106.44,103.02,107.99
"9/1/2010",107.3,103.34,109.48
"12/1/2010",108.2,103.93,108.51
"3/1/2011",109.86,104.67,113.12
"6/1/2011",109.96,104.13,113.38
"9/1/2011",110.43,105.5,113.8
"12/1/2011",110.54,105.19,114.72
"3/1/2012",111.27,105.57,113.73
"6/1/2012",111.18,105.71,111.59
"9/1/2012",111.4,105.78,111.09
"12/1/2012",110.89,105.42,109.92
"3/1/2013",110.89,106.23,108.29
"6/1/2013",111.69,NA,NA
