"date","GDP","Consumption","Investment"
"Transform:",3,3,3
"3/1/1991",79.54,81.67,88.48
"6/1/1991",79.19,82.45,88.99
"9/1/1991",78.82,80.21,89.88
"12/1/1991",79.78,82.3,92.21
"3/1/1992",81.12,83.86,94.08
"6/1/1992",80.55,83.37,93.37
"9/1/1992",80.34,83.5,91.43
"12/1/1992",80.13,85.94,91.27
"3/1/1993",79.47,84.15,89.49
"6/1/1993",79.48,84.18,88.34
"9/1/1993",80.06,84.91,88.94
"12/1/1993",79.97,85.86,87.59
"3/1/1994",81.02,86.16,90.46
"6/1/1994",81.23,85.77,91.46
"9/1/1994",81.89,86.58,91.85
"12/1/1994",82.89,87.12,93.81
"3/1/1995",82.57,87.4,91.47
"6/1/1995",83.28,88.52,93.03
"9/1/1995",83.52,88.44,92.07
"12/1/1995",83.47,88.45,91.48
"3/1/1996",82.67,88.8,86.42
"6/1/1996",83.8,89.19,93.35
"9/1/1996",84.33,89.45,93.22
"12/1/1996",84.75,89.5,93.43
"3/1/1997",84.31,89.88,90.38
"6/1/1997",85.47,90.4,92.54
"9/1/1997",85.78,89.65,92.64
"12/1/1997",86.35,90.36,93.48
"3/1/1998",87.1,90.85,95.96
"6/1/1998",86.78,90.39,94.71
"9/1/1998",87.03,91.18,95.95
"12/1/1998",86.97,92.09,95.48
"3/1/1999",87.74,93.01,98.23
"6/1/1999",87.88,92.95,99.1
"9/1/1999",88.82,93.22,101.11
"12/1/1999",89.9,94.37,100.62
"3/1/2000",90.8,94.74,102.74
"6/1/2000",91.71,95.81,102.49
"9/1/2000",91.57,95.87,103.37
"12/1/2000",91.66,95.28,102.64
"3/1/2001",93.15,96.93,103.12
"6/1/2001",93.23,97.16,101.19
"9/1/2001",92.95,97.33,99.55
"12/1/2001",93.11,96.68,98.53
"3/1/2002",92.82,96.02,96.54
"6/1/2002",93.01,96,94.71
"9/1/2002",93.44,96.29,94.31
"12/1/2002",93.26,96.75,93.69
"3/1/2003",92.11,96.46,93.75
"6/1/2003",92.16,96.4,93.38
"9/1/2003",92.62,96.36,93.41
"12/1/2003",92.94,96.29,93.29
"3/1/2004",92.93,96.93,93.15
"6/1/2004",93.27,96.72,92.45
"9/1/2004",93.11,96.54,92.57
"12/1/2004",93.17,97.29,92.05
"3/1/2005",93,97.19,90.76
"6/1/2005",93.63,97.26,92.23
"9/1/2005",94.39,97.41,93.48
"12/1/2005",94.71,97.56,95.62
"3/1/2006",95.64,98.27,94.92
"6/1/2006",97.17,98.59,100.41
"9/1/2006",98.12,98.57,100.93
"12/1/2006",99.4,100.21,104.22
"3/1/2007",99.85,98.17,104.7
"6/1/2007",100.58,98.97,103.64
"9/1/2007",101.41,99.18,104.08
"12/1/2007",101.73,99.17,106.67
"3/1/2008",102.54,99.3,107.64
"6/1/2008",102.32,99.26,104.97
"9/1/2008",101.91,99.29,105.19
"12/1/2008",99.92,99.28,103.76
"3/1/2009",95.44,99.83,95.41
"6/1/2009",95.56,99.92,94.63
"9/1/2009",96.08,98.77,94.97
"12/1/2009",96.92,99.3,94.91
"3/1/2010",97.67,99.33,94.91
"6/1/2010",99.73,99.8,100.54
"9/1/2010",100.49,99.94,101.14
"12/1/2010",101.23,100.78,100.78
"3/1/2011",103.09,102.13,106.06
"6/1/2011",103.28,101.45,106.93
"9/1/2011",103.68,102.56,107.04
"12/1/2011",103.68,102.8,107.26
"3/1/2012",104,102.59,107.52
"6/1/2012",104.13,102.86,106.71
"9/1/2012",104.22,103.04,106.54
"12/1/2012",103.79,102.96,106.5
"3/1/2013",103.37,103.14,103.76
"6/1/2013",104.19,103.94,106.24
"9/1/2013",104.5,104.53,107.04
"12/1/2013",104.97,103.73,108.36
"3/1/2014",105.78,104.54,111.66
"6/1/2014",105.69,104.56,109.77
"9/1/2014",105.76,105.28,108.47
"12/1/2014",106.5,106.02,109.37
"3/1/2015",106.79,106.66,110.98
"6/1/2015",NA,NA,NA
