"date","ConstrProd","IP","ConstrNO","INO","ConstrTurn","ITurn","CPI","CPIEN","PPI","PPIEN","HW","ConstrHW"
"Transform:",1,1,1,1,1,1,1,1,1,1,1,1
"1/1/1991",105.7,94.5,107.1,87.1,13565077,82.5,74.2,75.9,94,92.9,154.7,149072
"2/1/1991",84.8,92.7,108.3,84.6,12386761,81,74.4,76.2,94.1,93,153.82,121390
"3/1/1991",98.2,92.5,106.9,84.7,13131178,80.6,74.4,76.5,93.9,93.2,151.56,142195
"4/1/1991",97.2,92,103.8,83.6,13823067,79.9,74.8,76.8,94.6,93.5,149.39,135393
"5/1/1991",96.1,90.7,109.6,83.6,13835401,79.8,74.9,77,94.7,93.5,147.95,132686
"6/1/1991",96.2,94.2,112.5,84.3,13830985,81.3,75.4,77.2,94.9,93.7,148.44,130078
"7/1/1991",97.1,92,111,82.7,14099845,80.5,76.1,77.7,95.6,93.9,146.63,132575
"8/1/1991",96.3,91.1,114.7,85.3,13879901,79.7,76.4,78,95.6,94,144.73,130035
"9/1/1991",97.5,89.9,122.8,80.9,14138415,79.1,76.5,78,95.9,94.1,144.36,131555
"10/1/1991",98.5,91.7,115.5,83.9,14179917,80.9,77.9,79.5,95.8,94.2,143.14,132810
"11/1/1991",100.3,92.8,117,84.1,14621549,82.5,78.2,79.7,95.9,94.3,143.32,137177
"12/1/1991",100.8,92.1,115.7,84.4,14172939,79.9,78.2,79.8,95.9,94.3,140.76,137905
"1/1/1992",104.7,93.4,120.1,85.2,15040620,83.1,78.5,80.3,95.5,94.5,142.32,141212
"2/1/1992",111.2,94,128.6,86.7,16147082,83.7,78.7,80.5,95.9,94.7,142.01,148559
"3/1/1992",107.7,92.2,119.6,84.1,16338567,82.4,79,80.8,96.2,95.1,140.79,146133
"4/1/1992",105.9,92.2,115.8,83,16196498,82.5,79.4,81.2,96.5,95.3,139.44,141740
"5/1/1992",107.1,91.7,116.6,81.2,16065531,82,79.7,81.3,96.5,95.5,138.52,141589
"6/1/1992",105.9,90.2,120.1,79.7,15812627,80.7,79.9,81.8,96.8,95.7,136.41,138872
"7/1/1992",103,88.8,113.9,77.3,15707796,79.5,80,81.9,96.6,95.7,134.58,135935
"8/1/1992",106.6,89.5,113.6,78.9,16367231,80,80.1,81.9,96.6,95.8,135.19,137981
"9/1/1992",106.4,88.2,116.9,78.1,16299131,79.9,80.2,82.1,96.5,95.8,133.44,139384
"10/1/1992",104.6,88.1,118,74.8,16186862,78.5,80.6,82.5,96.3,95.6,132.87,136113
"11/1/1992",106.8,87,118.7,75.4,16394524,77.9,80.8,82.8,96.4,95.7,130.77,139138
"12/1/1992",114.6,85.2,136.5,75.3,19139703,77.7,80.9,82.9,96.4,95.7,129.56,148832
"1/1/1993",107.1,83.7,124.3,74.7,16979475,75.9,82,84,96.3,95.7,127.6,143064
"2/1/1993",107.1,82.2,121.3,73.5,15637612,75.6,82.5,84.5,96.5,95.7,124.6,138249
"3/1/1993",111,82.9,122.8,70.7,16485069,75.3,82.6,84.7,96.5,95.6,124.06,140071
"4/1/1993",110.7,82.2,119.6,71.9,17009265,75.1,83,85.1,96.4,95.7,122.98,143321
"5/1/1993",111.2,82.5,118.8,74.5,16806205,74.1,83,85.2,96.3,95.5,121.74,142896
"6/1/1993",109.9,81.9,119.6,72.5,16962032,73.6,83.4,85.5,96.3,95.5,120.32,141657
"7/1/1993",108.1,80.3,125,72.9,16949399,73.5,83.6,85.8,96.4,95.7,119.59,138879
"8/1/1993",112.7,83.9,123.6,73.3,17065815,76.3,83.8,86.1,96.4,95.7,120.97,143674
"9/1/1993",111.2,83.1,121.6,73.9,17189097,74.8,83.8,86.2,96.1,95.5,119.16,143158
"10/1/1993",112.6,83.2,131.7,74.9,17246136,74.6,84.1,86.4,96.1,95.4,118.93,143811
"11/1/1993",104.9,82.7,131.8,74.5,16992133,74.1,84.2,86.5,96.2,95.5,117.62,133839
"12/1/1993",107.8,83.2,134.2,76,17269982,75.2,84.2,86.5,96.3,95.6,118.26,138814
"1/1/1994",119.7,82.2,143,73.2,18743503,74.5,84.7,86.8,96.4,95.5,117.13,155399
"2/1/1994",110.3,83.9,132.7,76.3,18524662,75.4,84.9,87,96.6,95.6,116.61,140216
"3/1/1994",124.8,83.9,132.7,77.4,18536840,75.8,85.1,87.2,96.7,95.7,116.26,154333
"4/1/1994",119,84.7,132.6,77.5,18547066,76.8,85.3,87.5,96.6,95.7,116.82,150214
"5/1/1994",118.2,84.7,133.3,77.2,18475371,76.8,85.4,87.6,96.7,95.8,115.45,149504
"6/1/1994",119.5,85,129.8,79,18675075,76.9,85.6,87.9,96.7,95.8,115.34,150365
"7/1/1994",117.7,84.9,126.5,78,18506460,77.8,85.8,88.1,96.7,95.9,114.5,145859
"8/1/1994",120.5,85.4,129.9,77.4,18565168,77.4,86.2,88.3,96.8,96,114.57,150283
"9/1/1994",120,86.2,129.3,80.2,18964683,78.8,86.1,88.4,96.7,96.1,114.63,149573
"10/1/1994",124.4,87.8,132.1,81.2,19247800,80.4,86.2,88.4,97,96.4,114.72,152068
"11/1/1994",128.2,88.4,141.2,82.3,19649535,81.2,86.3,88.5,97.4,96.8,114.11,157566
"12/1/1994",124.4,88.4,142.8,84.1,20705120,80.8,86.3,88.6,97.6,97,114.6,152892
"1/1/1995",109.9,85.2,145.9,79.5,19505093,81.1,86.4,88.7,98,97.7,113.99,134982
