,M1-01,M1-16,M2-01,M2-16,M3-01,M3-16,M4-01
2008-03,3.849872222134003,3.837039141306253,0.4046859648839485,0.40739980601029335,-0.11378081993995792,-0.07897158207842159,-0.06920528781586044
2008-06,1.4377107939839586,1.43537024389992,3.1577574189040054,3.0709311600490006,2.346663293428005,2.372872617985035,2.3878258033320154
2008-09,7.443866449341326,7.41661939918826,5.787409561197264,5.831866586767354,5.371184100580283,5.356072148693584,5.358104391637927
2008-12,-3.6148037203745016,-3.407495453043995,-8.937882345558787,-8.931033716518266,-10.996461671560857,-10.899181137344454,-11.193668183180678
2009-03,-7.405068604043126,-7.511569861007243,-6.535168303327493,-6.625090993445615,-7.186471359271074,-7.909829312804925,-7.996797507524139
2009-06,-3.6326959933323835,-3.8046310230054585,-3.01430600009481,-3.0372547054470838,-4.20755620622299,-4.276966828508069,-4.234382405728203
2009-09,-3.6966438804156505,-3.7026604649310455,-5.485007738371163,-5.452738661926781,-6.2158954972538165,-6.190515876260134,-5.963887059901666
2009-12,2.5997646146856064,2.632831642877144,4.539407749720529,4.581036899206358,2.5951449804749718,2.5469913488692972,2.6576601999840004
2010-03,1.1052694900632207,1.165623030162323,0.8194216359842932,0.7819415274102265,0.6109898063571078,0.7508537088818297,0.7668419439960212
2010-06,0.2817523242980777,0.26892950054481196,1.1812004875295776,1.7014228798471522,1.1448897498883093,0.8804280059009408,0.8777632131286139
2010-09,-0.7089492021241359,-0.5988825181014883,2.844923126591767,2.7975146793706847,0.2940031492844608,0.1512103117936613,0.36543906164447654
2010-12,3.593892075233953,3.721459192191309,6.47164557680081,6.322264770392727,7.538679028727746,7.736149726247675,8.026777803158312
2011-03,5.323116182720806,5.286808030012756,7.260536876166079,7.0313036663437405,8.375874831859424,8.541811145638691,8.863193746840702
2011-06,3.7944779411549874,3.810415872630964,3.976895228879898,3.9447280255329904,3.0664217341136273,3.1163266827494445,3.0568846926730133
2011-09,3.268439801087691,3.309066435204785,2.4068922504659893,2.3734766160975047,-1.563100973743436,-1.1405216600862809,-0.7648595307073968
2011-12,-7.158116024937181,-7.280014151172155,-3.888920072728716,-3.9416286551471114,-4.743922255905366,-4.607146983470336,-4.444152055670244
2012-03,0.7219038519827201,0.7466572661445854,0.519865650338336,0.44206874422311604,-0.33872790101666506,-0.1667889454377911,-0.11625231579614614
2012-06,2.1996313313134994,2.195168959339636,2.188723709261918,2.267475942361598,1.0151330814975195,0.9418169478654044,0.8863561935349247
2012-09,-2.090652755079554,-1.9663177025397554,-3.3993689072984092,-3.517839467848136,-3.045657831562466,-2.9312181751364332,-2.7624732480211547
2012-12,0.14228396606329008,0.11999844633244638,0.4145217722697932,0.30034035667791825,-1.4940571364276147,-1.5280349101073227,-1.4802607105314776
2013-03,1.0758760303176427,1.0805730619381735,3.6682752921631967,3.6643993443113287,2.333850263481684,2.2596468360637973,2.2421483451641686
2013-06,-0.61016707129938,-0.6213736045059207,-1.2526818527631942,-1.1822367354111938,0.4153932392587649,0.501243074962908,0.5150910369075388
2013-09,3.1849219826622184,3.120353022161594,2.5147037195680966,2.5446187549512844,2.0253488709302294,1.8979532831795851,1.8888623821693056
2013-12,3.6474364784693254,3.804272741030493,3.6150029240497847,3.604294132807775,3.1777926808079204,3.128296043685942,3.0865284485362805
2014-03,4.365381867156318,4.3534236866674085,4.229489957771226,4.199353549185066,2.532657412479168,2.6164407098675553,2.6584863014232325
2014-06,1.361763131024487,1.368081266961956,1.1620940533421804,1.1416872263961375,-0.011963532414819955,0.011714826786350607,-0.03651711831678839
2014-09,2.946641231798365,2.9209713444061443,2.2160191978174204,2.210884254693876,0.2636955772093702,1.3901030131139454,1.4159614833782943
2014-12,-2.8668886560612776,-2.9386197196035133,-2.9175590174823114,-2.8658698231835347,-1.8538126847699856,-1.7487706765146136,-1.8011735085793807
2015-03,0.5701729033008358,0.5645224557116314,-0.27536445620221695,-0.2334582119807621,-1.0890829898720575,-1.0739993297238075,-0.9872446611974303
2015-06,1.7988020831350924,1.8043988953326937,2.2837100157299313,2.291603639868402,2.294791634384241,2.3646861187230206,2.2572183501635847
2015-09,3.633610329673265,3.597200217716991,2.22816439758073,2.1717062523147836,1.89662285684477,1.9117883799270503,1.787103395668169
2015-12,-0.36809671843120995,-0.40101634586811985,-0.9478705516533715,-0.9804280509537614,-0.7784770918889449,-0.6821660428947965,-0.6788885927693874
2016-03,1.4824322373033314,1.4048841538914543,0.19968642269883186,0.19828253379551197,-1.9232427367568603,-1.7629485829282248,-1.7862962101900048
2016-06,0.814833499688459,0.8292237762583836,0.7596905261327105,0.7480630423038179,0.2344253643138473,0.24791196996708786,0.32542698330515296
2016-09,1.176654835286748,1.1537826891231915,-0.1329231056650333,-0.09317190347967697,0.11706627889836119,0.07660932262043096,0.04476770102286365
2016-12,-0.05678653623328034,-0.03527982734736612,0.4883494588821564,0.4527437576675436,1.324777219286673,1.3715082763795694,1.4388350452410246
2017-03,3.628256972804265,3.688380385844888,3.574383792895847,3.486990117158933,2.863792619906017,2.89674510745356,2.7884903470798887
2017-06,1.9190982497572346,1.9583594438967789,2.3850555409669347,2.372206860280691,2.4301163285403744,2.4322096139467764,2.3551869685187525
2017-09,3.2746103478250363,3.2723276757827664,4.356909534431866,4.339666849084861,3.230986796644907,3.2087601975810207,3.2467642851009364
2017-12,1.1326967983795186,1.150097141544759,2.530178464436406,2.514711855162559,3.381815205325769,3.3381737323877174,3.3319112620277127
2018-03,3.4319809265653376,3.4626453186169988,5.415163775073453,5.419415293289075,5.54910354513885,5.472747727986558,5.423001181828413
2018-06,2.3481314999826406,2.324504580089191,1.2985987902180338,1.3029100639968207,1.7185841470999774,1.7088921831643467,1.8375921520990912
2018-09,0.8902114956746325,0.8969931345598323,1.7945075493693958,1.7736996865296166,0.9161721572826725,0.8642721668297724,0.864714348354747
2018-12,0.21227946048780533,0.228614074460059,-0.16977227868164868,-0.1930501881336233,0.02816825084992436,0.027533738019690723,-0.018443157193168025
